file_name,accession,name,full_header,scientific_name
PQ997912.fasta,PQ997912.1,"Abroma augustum chloroplast, complete genome","PQ997912.1 Abroma augustum chloroplast, complete genome",Abroma augustum
PV582056.fasta,PV582056.1,"Abrus bottae voucher UQU_GT2026 chloroplast, complete genome","PV582056.1 Abrus bottae voucher UQU_GT2026 chloroplast, complete genome",Abrus bottae
PX334442.fasta,PX334442.1,"Abutilon abutiloides chloroplast, complete genome","PX334442.1 Abutilon abutiloides chloroplast, complete genome",Abutilon abutiloides
PX334443.fasta,PX334443.1,"Abutilon angulatum chloroplast, complete genome","PX334443.1 Abutilon angulatum chloroplast, complete genome",Abutilon angulatum
PX334445.fasta,PX334445.1,"Abutilon geranioides chloroplast, complete genome","PX334445.1 Abutilon geranioides chloroplast, complete genome",Abutilon geranioides
PX334446.fasta,PX334446.1,"Abutilon grandifolium chloroplast, complete genome","PX334446.1 Abutilon grandifolium chloroplast, complete genome",Abutilon grandifolium
PX334447.fasta,PX334447.1,"Abutilon hirtum chloroplast, complete genome","PX334447.1 Abutilon hirtum chloroplast, complete genome",Abutilon hirtum
PP897811.fasta,PP897811.1,"Abutilon indicum chloroplast, complete genome","PP897811.1 Abutilon indicum chloroplast, complete genome",Abutilon indicum
PX334444.fasta,PX334444.1,"Abutilon longicuspe chloroplast, complete genome","PX334444.1 Abutilon longicuspe chloroplast, complete genome",Abutilon longicuspe
OR162026.fasta,OR162026.1,"Abutilon theophrasti chloroplast, complete genome","OR162026.1 Abutilon theophrasti chloroplast, complete genome",Abutilon theophrasti
PV870721.fasta,PV870721.1,"Acaciella angustissima voucher 27548-MO chloroplast, complete genome","PV870721.1 Acaciella angustissima voucher 27548-MO chloroplast, complete genome",Acaciella angustissima
PZ094841.fasta,PZ094841.1,"Acanthophyllum aculeatum chloroplast, complete genome","PZ094841.1 Acanthophyllum aculeatum chloroplast, complete genome",Acanthophyllum aculeatum
PV995244.fasta,PV995244.1,"Acanthophyllum coloratum var. eglandulosum voucher YZP001504 chloroplast, complete genome","PV995244.1 Acanthophyllum coloratum var. eglandulosum voucher YZP001504 chloroplast, complete genome",Acanthophyllum coloratum
PX309500.fasta,PX309500.1,"Acer palmatum chloroplast, complete genome","PX309500.1 Acer palmatum chloroplast, complete genome",Acer palmatum
PQ380007.fasta,PQ380007.1,"Acer pictum subsp. okamotoanum chloroplast, complete genome","PQ380007.1 Acer pictum subsp. okamotoanum chloroplast, complete genome",Acer pictum
PP328799.fasta,PP328799.1,"Acer pseudoplatanus chloroplast, complete genome","PP328799.1 Acer pseudoplatanus chloroplast, complete genome",Acer pseudoplatanus
PP078684.fasta,PP078684.1,"Acer sinopurpurascens isolate ZXX21389 chloroplast, complete genome","PP078684.1 Acer sinopurpurascens isolate ZXX21389 chloroplast, complete genome",Acer sinopurpurascens
PQ412534.fasta,PQ412534.1,"Achillea ptarmica cultivar YAF01 chloroplast, complete genome","PQ412534.1 Achillea ptarmica cultivar YAF01 chloroplast, complete genome",Achillea ptarmica
PP316502.fasta,PP316502.1,"Achnatherum calamagrostis chloroplast, complete genome","PP316502.1 Achnatherum calamagrostis chloroplast, complete genome",Achnatherum calamagrostis
OR738466.fasta,OR738466.1,"Achyrocline hyperchlora chloroplast, complete genome","OR738466.1 Achyrocline hyperchlora chloroplast, complete genome",Achyrocline hyperchlora
PQ576951.fasta,PQ576951.1,"Acidosasa glauca voucher NZY152 chloroplast, complete genome","PQ576951.1 Acidosasa glauca voucher NZY152 chloroplast, complete genome",Acidosasa glauca
PQ576950.fasta,PQ576950.1,"Acidosasa purpurea voucher NZY041 chloroplast, complete genome","PQ576950.1 Acidosasa purpurea voucher NZY041 chloroplast, complete genome",Acidosasa purpurea
PP681647.fasta,PP681647.1,"Acidosasa venusta voucher XNH12 chloroplast, complete genome","PP681647.1 Acidosasa venusta voucher XNH12 chloroplast, complete genome",Acidosasa venusta
PV409667.fasta,PV409667.1,"Acis autumnalis chloroplast, complete genome","PV409667.1 Acis autumnalis chloroplast, complete genome",Acis autumnalis
PQ539379.fasta,PQ539379.1,"Acmispon americanus chloroplast, complete genome","PQ539379.1 Acmispon americanus chloroplast, complete genome",Acmispon americanus
PQ539367.fasta,PQ539367.1,"Acmispon glaber chloroplast, complete genome","PQ539367.1 Acmispon glaber chloroplast, complete genome",Acmispon glaber
PQ539368.fasta,PQ539368.1,"Acmispon parviflorus chloroplast, complete genome","PQ539368.1 Acmispon parviflorus chloroplast, complete genome",Acmispon parviflorus
PX380619.fasta,PX380619.1,"Aconitum alboviolaceum isolate XL01 chloroplast, complete genome","PX380619.1 Aconitum alboviolaceum isolate XL01 chloroplast, complete genome",Aconitum alboviolaceum
PX380620.fasta,PX380620.1,"Aconitum anthoroideum isolate 20240716001 chloroplast, complete genome","PX380620.1 Aconitum anthoroideum isolate 20240716001 chloroplast, complete genome",Aconitum anthoroideum
PX686330.fasta,PX686330.1,"Aconitum brunneum chloroplast, complete genome","PX686330.1 Aconitum brunneum chloroplast, complete genome",Aconitum brunneum
PX380622.fasta,PX380622.1,"Aconitum chrysotrichum isolate 20200806001 chloroplast, complete genome","PX380622.1 Aconitum chrysotrichum isolate 20200806001 chloroplast, complete genome",Aconitum chrysotrichum
PX380623.fasta,PX380623.1,"Aconitum coreanum isolate 2024092307 chloroplast, complete genome","PX380623.1 Aconitum coreanum isolate 2024092307 chloroplast, complete genome",Aconitum coreanum
PX380624.fasta,PX380624.1,"Aconitum fischeri var. arcuatum isolate 2024092305 chloroplast, complete genome","PX380624.1 Aconitum fischeri var. arcuatum isolate 2024092305 chloroplast, complete genome",Aconitum fischeri
PX380625.fasta,PX380625.1,"Aconitum flavum isolate WH061 chloroplast, complete genome","PX380625.1 Aconitum flavum isolate WH061 chloroplast, complete genome",Aconitum flavum
PX380626.fasta,PX380626.1,"Aconitum glandulosum isolate 20240803009 chloroplast, complete genome","PX380626.1 Aconitum glandulosum isolate 20240803009 chloroplast, complete genome",Aconitum glandulosum
PX380627.fasta,PX380627.1,"Aconitum hemsleyanum isolate 20200804017 chloroplast, complete genome","PX380627.1 Aconitum hemsleyanum isolate 20200804017 chloroplast, complete genome",Aconitum hemsleyanum
PX781441.fasta,PX781441.1,"Aconitum heterophyllum voucher 8658KASH chloroplast, complete genome","PX781441.1 Aconitum heterophyllum voucher 8658KASH chloroplast, complete genome",Aconitum heterophyllum
PX686329.fasta,PX686329.1,"Aconitum karakolicum chloroplast, complete genome","PX686329.1 Aconitum karakolicum chloroplast, complete genome",Aconitum karakolicum
PX380629.fasta,PX380629.1,"Aconitum kirinense isolate 2024092302 chloroplast, complete genome","PX380629.1 Aconitum kirinense isolate 2024092302 chloroplast, complete genome",Aconitum kirinense
PX380630.fasta,PX380630.1,"Aconitum kongboense isolate WH011 chloroplast, complete genome","PX380630.1 Aconitum kongboense isolate WH011 chloroplast, complete genome",Aconitum kongboense
PX380631.fasta,PX380631.1,"Aconitum kusnezoffii isolate 2024092309 chloroplast, complete genome","PX380631.1 Aconitum kusnezoffii isolate 2024092309 chloroplast, complete genome",Aconitum kusnezoffii
PX380632.fasta,PX380632.1,"Aconitum lethale isolate WH021 chloroplast, complete genome","PX380632.1 Aconitum lethale isolate WH021 chloroplast, complete genome",Aconitum lethale
PX380635.fasta,PX380635.1,"Aconitum leucostomum var. hopeiense isolate 2022082401 chloroplast, complete genome","PX380635.1 Aconitum leucostomum var. hopeiense isolate 2022082401 chloroplast, complete genome",Aconitum leucostomum
PX380636.fasta,PX380636.1,"Aconitum ludlowii isolate YD007 chloroplast, complete genome","PX380636.1 Aconitum ludlowii isolate YD007 chloroplast, complete genome",Aconitum ludlowii
PX380637.fasta,PX380637.1,"Aconitum macrorhynchum isolate 2024092303 chloroplast, complete genome","PX380637.1 Aconitum macrorhynchum isolate 2024092303 chloroplast, complete genome",Aconitum macrorhynchum
PP316503.fasta,PP316503.1,"Aconitum napellus chloroplast, complete genome","PP316503.1 Aconitum napellus chloroplast, complete genome",Aconitum napellus
PX380639.fasta,PX380639.1,"Aconitum naviculare isolate WH030 chloroplast, complete genome","PX380639.1 Aconitum naviculare isolate WH030 chloroplast, complete genome",Aconitum naviculare
PX380640.fasta,PX380640.1,"Aconitum pendulum isolate 2023080806 chloroplast, complete genome","PX380640.1 Aconitum pendulum isolate 2023080806 chloroplast, complete genome",Aconitum pendulum
PX380641.fasta,PX380641.1,"Aconitum pulchellum isolate 2022080905 chloroplast, complete genome","PX380641.1 Aconitum pulchellum isolate 2022080905 chloroplast, complete genome",Aconitum pulchellum
PX686331.fasta,PX686331.1,"Aconitum refractum chloroplast, complete genome","PX686331.1 Aconitum refractum chloroplast, complete genome",Aconitum refractum
PX380643.fasta,PX380643.1,"Aconitum rotundifolium isolate 20240809004 chloroplast, complete genome","PX380643.1 Aconitum rotundifolium isolate 20240809004 chloroplast, complete genome",Aconitum rotundifolium
PX380644.fasta,PX380644.1,"Aconitum scaposum isolate 2023041402 chloroplast, complete genome","PX380644.1 Aconitum scaposum isolate 2023041402 chloroplast, complete genome",Aconitum scaposum
PX380645.fasta,PX380645.1,"Aconitum sinomontanum isolate 2022062401 chloroplast, complete genome","PX380645.1 Aconitum sinomontanum isolate 2022062401 chloroplast, complete genome",Aconitum sinomontanum
PX380646.fasta,PX380646.1,"Aconitum soongaricum isolate 20240802010 chloroplast, complete genome","PX380646.1 Aconitum soongaricum isolate 20240802010 chloroplast, complete genome",Aconitum soongaricum
