"","file_name","accession","cleaned","faster_header"
"1","PQ276670.fasta","PQ276670.1","Lithocarpus longzhouicus","PQ276670.1 Lithocarpus longzhouicus"
"2","OR712478.fasta","OR712478.1","Nanodea muscosa","OR712478.1 Nanodea muscosa"
"3","ON470830.fasta","ON470830.1","Ligusticum nullivittatum","ON470830.1 Ligusticum nullivittatum"
"4","PX108826.fasta","PX108826.1","Carica papaya","PX108826.1 Carica papaya"
"5","PV553482.fasta","PV553482.1","Cryptocarya natalensis","PV553482.1 Cryptocarya natalensis"
"6","PQ586133.fasta","PQ586133.1","Boswellia dioscoridis","PQ586133.1 Boswellia dioscoridis"
"7","PP952508.fasta","PP952508.1","Sclerophylax spinescens","PP952508.1 Sclerophylax spinescens"
"8","ON729349.fasta","ON729349.1","Loropetalum subcordatum","ON729349.1 Loropetalum subcordatum"
"9","PX703147.1.fasta","PX703147.1","Amentotaxus assamica","PX703147.1 Amentotaxus assamica"
"10","PQ459325.fasta","PQ459325.1","Chimonobambusa utilis","PQ459325.1 Chimonobambusa utilis"
"11","PX754132.fasta","PX754132.1","Actinidia trichogyna","PX754132.1 Actinidia trichogyna"
"12","PP316512.fasta","PP316512.1","Alopecurus myosuroides","PP316512.1 Alopecurus myosuroides"
"13","PQ157955.fasta","PQ157955.1","Vepris eggelingii","PQ157955.1 Vepris eggelingii"
"14","PX763876.fasta","PX763876.1","Malus micromalus","PX763876.1 Malus micromalus"
"15","OR990545.fasta","OR990545.1","Senecio doronicum","OR990545.1 Senecio doronicum"
"16","OR162025.fasta","OR162025.1","Malvastrum coromandelianum","OR162025.1 Malvastrum coromandelianum"
"17","PV693365.fasta","PV693365.1","Vepris schliebenii","PV693365.1 Vepris schliebenii"
"18","PQ210165.fasta","PQ210165.1","Muscari coeleste","PQ210165.1 Muscari coeleste"
"19","PX694266.fasta","PX694266.1","Malvaviscus arboreus","PX694266.1 Malvaviscus arboreus"
"20","OR565940.fasta","OR565940.1","Paraphlomis seticalyx","OR565940.1 Paraphlomis seticalyx"
"21","PQ899492.fasta","PQ899492.1","Beilschmiedia fordii","PQ899492.1 Beilschmiedia fordii"
"22","PX512552.1.fasta","PX512552.1","Coelastrum pseudomicroporum","PX512552.1 Coelastrum pseudomicroporum"
"23","PZ098403.fasta","PZ098403.1","Glyceria insularis","PZ098403.1 Glyceria insularis"
"24","PV605568.fasta","PV605568.1","Thinopyrum elongatum","PV605568.1 Thinopyrum elongatum"
"25","PQ456195.fasta","PQ456195.1","Melissa officinalis","PQ456195.1 Melissa officinalis"
"26","PV817901.fasta","PV817901.1","Allium prattii","PV817901.1 Allium prattii"
"27","PX686333.fasta","PX686333.1","Delphinium dolichocentroides","PX686333.1 Delphinium dolichocentroides"
"28","PX130366.fasta","PX130366.1","Syzygium saliciforme","PX130366.1 Syzygium saliciforme"
"29","BK070974.fasta","BK070974.1","Erigeron silenifolius","BK070974.1 Erigeron silenifolius"
"30","OR884984.fasta","OR884984.1","Allium oleraceum","OR884984.1 Allium oleraceum"
"31","PV192907.fasta","PV192907.1","Epimedium coactum","PV192907.1 Epimedium coactum"
"32","OR896889.fasta","OR896889.1","Pimpinella major","OR896889.1 Pimpinella major"
"33","PX404588.fasta","PX404588.1","Citrus medica","PX404588.1 Citrus medica"
"34","PX899748.fasta","PX899748.1","Juncus gracillimus","PX899748.1 Juncus gracillimus"
"35","PV621861.fasta","PV621861.1","Ranunculus sieboldii","PV621861.1 Ranunculus sieboldii"
"36","PQ144610.fasta","PQ144610.1","Dalbergia ovata","PQ144610.1 Dalbergia ovata"
"37","PX380641.fasta","PX380641.1","Aconitum pulchellum","PX380641.1 Aconitum pulchellum"
"38","PP888222.fasta","PP888222.1","Quercus chenii","PP888222.1 Quercus chenii"
"39","PX969651.fasta","PX969651.1","Rhamnus erythroxylum","PX969651.1 Rhamnus erythroxylum"
"40","PV929692.fasta","PV929692.1","Myriophyllum papillosum","PV929692.1 Myriophyllum papillosum"
"41","PP336766.fasta","PP336766.1","Hyoscyamus niger","PP336766.1 Hyoscyamus niger"
"42","PQ632093.fasta","PQ632093.1","Triticum carthlicum","PQ632093.1 Triticum carthlicum"
"43","PV870862.fasta","PV870862.1","Salvia limbata","PV870862.1 Salvia limbata"
"44","OR698945.fasta","OR698945.1","Paphiopedilum emersonii","OR698945.1 Paphiopedilum emersonii"
"45","PX505293.fasta","PX505293.1","Hemiboea shimentaiensis","PX505293.1 Hemiboea shimentaiensis"
"46","PV640845.fasta","PV640845.1","Odontostemma trichophorum","PV640845.1 Odontostemma trichophorum"
"47","PX987619.fasta","PX987619.1","Semiaquilegia quelpaertensis","PX987619.1 Semiaquilegia quelpaertensis"
"48","PX355017.1.fasta","PX355017.1","Cupressus sempervirens","PX355017.1 Cupressus sempervirens"
"49","PP335054.fasta","PP335054.1","Daphne reichsteinii","PP335054.1 Daphne reichsteinii"
