verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,,file_name,accession,name,full_header,scientific_name
Abroma augustum,Abroma augustum (L.) L.fil.,8219075,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abroma,Abroma augustum,Abroma augustum,(L.) L.fil.,8219075,,,PQ997912.fasta,PQ997912.1,"Abroma augustum chloroplast, complete genome","PQ997912.1 Abroma augustum chloroplast, complete genome",Abroma augustum
Abrus bottae,Abrus bottae Deflers,5348703,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Abrus,Abrus bottae,Abrus bottae,Deflers,5348703,,,PV582056.fasta,PV582056.1,"Abrus bottae voucher UQU_GT2026 chloroplast, complete genome","PV582056.1 Abrus bottae voucher UQU_GT2026 chloroplast, complete genome",Abrus bottae
Abutilon abutiloides,Abutilon abutiloides (Jacq.) Garcke,7954241,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon abutiloides,Abutilon abutiloides,(Jacq.) Garcke,7954241,,,PX334442.fasta,PX334442.1,"Abutilon abutiloides chloroplast, complete genome","PX334442.1 Abutilon abutiloides chloroplast, complete genome",Abutilon abutiloides
Abutilon angulatum,Abutilon angulatum (Guill. & Perr.) Mast.,7279613,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon angulatum,Abutilon angulatum,(Guill. & Perr.) Mast.,7279613,,,PX334443.fasta,PX334443.1,"Abutilon angulatum chloroplast, complete genome","PX334443.1 Abutilon angulatum chloroplast, complete genome",Abutilon angulatum
Abutilon geranioides,Abutilon geranioides (DC.) Benth.,3938756,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon geranioides,Abutilon geranioides,(DC.) Benth.,3938756,,,PX334445.fasta,PX334445.1,"Abutilon geranioides chloroplast, complete genome","PX334445.1 Abutilon geranioides chloroplast, complete genome",Abutilon geranioides
Abutilon grandifolium,Abutilon grandifolium (Willd.) Sweet,3152633,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon grandifolium,Abutilon grandifolium,(Willd.) Sweet,3152633,,,PX334446.fasta,PX334446.1,"Abutilon grandifolium chloroplast, complete genome","PX334446.1 Abutilon grandifolium chloroplast, complete genome",Abutilon grandifolium
Abutilon hirtum,Abutilon hirtum (Lam.) Sweet,3152619,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon hirtum,Abutilon hirtum,(Lam.) Sweet,3152619,,,PX334447.fasta,PX334447.1,"Abutilon hirtum chloroplast, complete genome","PX334447.1 Abutilon hirtum chloroplast, complete genome",Abutilon hirtum
Abutilon indicum,Abutilon indicum (L.) Sweet,3152634,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon indicum,Abutilon indicum,(L.) Sweet,3152634,,,PP897811.fasta,PP897811.1,"Abutilon indicum chloroplast, complete genome","PP897811.1 Abutilon indicum chloroplast, complete genome",Abutilon indicum
Abutilon longicuspe,Abutilon longicuspe Hochst. ex A.Rich.,7279230,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon longicuspe,Abutilon longicuspe,Hochst. ex A.Rich.,7279230,,,PX334444.fasta,PX334444.1,"Abutilon longicuspe chloroplast, complete genome","PX334444.1 Abutilon longicuspe chloroplast, complete genome",Abutilon longicuspe
Abutilon theophrasti,Abutilon theophrasti Medik.,3152614,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon theophrasti,Abutilon theophrasti,Medik.,3152614,,,OR162026.fasta,OR162026.1,"Abutilon theophrasti chloroplast, complete genome","OR162026.1 Abutilon theophrasti chloroplast, complete genome",Abutilon theophrasti
Acaciella angustissima,Acaciella angustissima (Mill.) Britton & Rose,2981071,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acaciella,Acaciella angustissima,Acaciella angustissima,(Mill.) Britton & Rose,2981071,,,PV870721.fasta,PV870721.1,"Acaciella angustissima voucher 27548-MO chloroplast, complete genome","PV870721.1 Acaciella angustissima voucher 27548-MO chloroplast, complete genome",Acaciella angustissima
Acanthophyllum aculeatum,Acanthophyllum aculeatum Schischk.,5586185,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Acanthophyllum,Acanthophyllum aculeatum,Acanthophyllum aculeatum,Schischk.,5586185,,,PZ094841.fasta,PZ094841.1,"Acanthophyllum aculeatum chloroplast, complete genome","PZ094841.1 Acanthophyllum aculeatum chloroplast, complete genome",Acanthophyllum aculeatum
Acanthophyllum coloratum,Acanthophyllum coloratum (Preobr.) Schischk.,7267558,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Acanthophyllum,Acanthophyllum coloratum,Acanthophyllum coloratum,(Preobr.) Schischk.,7267558,,,PV995244.fasta,PV995244.1,"Acanthophyllum coloratum var. eglandulosum voucher YZP001504 chloroplast, complete genome","PV995244.1 Acanthophyllum coloratum var. eglandulosum voucher YZP001504 chloroplast, complete genome",Acanthophyllum coloratum
Acer palmatum,Acer palmatum Thunb.,3189882,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer palmatum,Acer palmatum,Thunb.,3189882,,,PX309500.fasta,PX309500.1,"Acer palmatum chloroplast, complete genome","PX309500.1 Acer palmatum chloroplast, complete genome",Acer palmatum
Acer pictum,Acer pictum Thunb.,7262911,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer pictum,Acer pictum,Thunb.,7262911,,,PQ380007.fasta,PQ380007.1,"Acer pictum subsp. okamotoanum chloroplast, complete genome","PQ380007.1 Acer pictum subsp. okamotoanum chloroplast, complete genome",Acer pictum
Acer pseudoplatanus,Acer pseudoplatanus L.,3189870,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer pseudoplatanus,Acer pseudoplatanus,L.,3189870,,,PP328799.fasta,PP328799.1,"Acer pseudoplatanus chloroplast, complete genome","PP328799.1 Acer pseudoplatanus chloroplast, complete genome",Acer pseudoplatanus
Acer sinopurpurascens,Acer sinopurpurascens W.C.Cheng,3768344,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer sinopurpurascens,Acer sinopurpurascens,W.C.Cheng,3768344,,,PP078684.fasta,PP078684.1,"Acer sinopurpurascens isolate ZXX21389 chloroplast, complete genome","PP078684.1 Acer sinopurpurascens isolate ZXX21389 chloroplast, complete genome",Acer sinopurpurascens
Achillea ptarmica,Achillea ptarmica L.,3120333,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea ptarmica,Achillea ptarmica,L.,3120333,,,PQ412534.fasta,PQ412534.1,"Achillea ptarmica cultivar YAF01 chloroplast, complete genome","PQ412534.1 Achillea ptarmica cultivar YAF01 chloroplast, complete genome",Achillea ptarmica
Achnatherum calamagrostis,Achnatherum calamagrostis (L.) P.Beauv.,4142326,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Achnatherum,Achnatherum calamagrostis,Achnatherum calamagrostis,(L.) P.Beauv.,4142326,,,PP316502.fasta,PP316502.1,"Achnatherum calamagrostis chloroplast, complete genome","PP316502.1 Achnatherum calamagrostis chloroplast, complete genome",Achnatherum calamagrostis
Achyrocline hyperchlora,Achyrocline hyperchlora S.F.Blake,3139570,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrocline,Achyrocline hyperchlora,Achyrocline hyperchlora,S.F.Blake,3139570,,,OR738466.fasta,OR738466.1,"Achyrocline hyperchlora chloroplast, complete genome","OR738466.1 Achyrocline hyperchlora chloroplast, complete genome",Achyrocline hyperchlora
Acidosasa glauca,Acidosasa glauca B.M.Yang,4140450,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Acidosasa,Acidosasa glauca,Acidosasa glauca,B.M.Yang,4140450,,,PQ576951.fasta,PQ576951.1,"Acidosasa glauca voucher NZY152 chloroplast, complete genome","PQ576951.1 Acidosasa glauca voucher NZY152 chloroplast, complete genome",Acidosasa glauca
Acidosasa purpurea,Acidosasa purpurea (Hsueh f. & T.P.Yi) Keng f.,4140305,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Acidosasa,Acidosasa purpurea,Acidosasa purpurea,(Hsueh f. & T.P.Yi) Keng f.,4140305,,,PQ576950.fasta,PQ576950.1,"Acidosasa purpurea voucher NZY041 chloroplast, complete genome","PQ576950.1 Acidosasa purpurea voucher NZY041 chloroplast, complete genome",Acidosasa purpurea
Acidosasa venusta,Acidosasa venusta (McClure) Z.P.Wang & G.H.Ye ex Ohrnb. & Goerrings,8138548,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Acidosasa,Acidosasa venusta,Acidosasa venusta,(McClure) Z.P.Wang & G.H.Ye ex Ohrnb. & Goerrings,8138548,,,PP681647.fasta,PP681647.1,"Acidosasa venusta voucher XNH12 chloroplast, complete genome","PP681647.1 Acidosasa venusta voucher XNH12 chloroplast, complete genome",Acidosasa venusta
Acis autumnalis,Acis autumnalis (L.) Sweet,5326565,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Acis,Acis autumnalis,Acis autumnalis,(L.) Sweet,5326565,,,PV409667.fasta,PV409667.1,"Acis autumnalis chloroplast, complete genome","PV409667.1 Acis autumnalis chloroplast, complete genome",Acis autumnalis
Acmispon americanus,Acmispon americanus (Nutt.) Rydb.,2975816,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,Acmispon americanus,Acmispon americanus,(Nutt.) Rydb.,2975816,,,PQ539379.fasta,PQ539379.1,"Acmispon americanus chloroplast, complete genome","PQ539379.1 Acmispon americanus chloroplast, complete genome",Acmispon americanus
Acmispon glaber,Acmispon glaber (Vogel) Brouillet,7274828,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,Acmispon glaber,Acmispon glaber,(Vogel) Brouillet,7274828,,,PQ539367.fasta,PQ539367.1,"Acmispon glaber chloroplast, complete genome","PQ539367.1 Acmispon glaber chloroplast, complete genome",Acmispon glaber
Acmispon parviflorus,Acmispon parviflorus (Benth.) D.D.Sokoloff,2975796,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,Acmispon parviflorus,Acmispon parviflorus,(Benth.) D.D.Sokoloff,2975796,,,PQ539368.fasta,PQ539368.1,"Acmispon parviflorus chloroplast, complete genome","PQ539368.1 Acmispon parviflorus chloroplast, complete genome",Acmispon parviflorus
Aconitum alboviolaceum,Aconitum alboviolaceum Kom.,7277655,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum alboviolaceum,Aconitum alboviolaceum,Kom.,7277655,,,PX380619.fasta,PX380619.1,"Aconitum alboviolaceum isolate XL01 chloroplast, complete genome","PX380619.1 Aconitum alboviolaceum isolate XL01 chloroplast, complete genome",Aconitum alboviolaceum
Aconitum anthoroideum,Aconitum anthoroideum DC.,3927287,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum anthoroideum,Aconitum anthoroideum,DC.,3927287,,,PX380620.fasta,PX380620.1,"Aconitum anthoroideum isolate 20240716001 chloroplast, complete genome","PX380620.1 Aconitum anthoroideum isolate 20240716001 chloroplast, complete genome",Aconitum anthoroideum
Aconitum brunneum,Aconitum brunneum Hand.-Mazz.,3926789,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum brunneum,Aconitum brunneum,Hand.-Mazz.,3926789,,,PX686330.fasta,PX686330.1,"Aconitum brunneum chloroplast, complete genome","PX686330.1 Aconitum brunneum chloroplast, complete genome",Aconitum brunneum
Aconitum chrysotrichum,Aconitum chrysotrichum W.T.Wang,3926389,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum chrysotrichum,Aconitum chrysotrichum,W.T.Wang,3926389,,,PX380622.fasta,PX380622.1,"Aconitum chrysotrichum isolate 20200806001 chloroplast, complete genome","PX380622.1 Aconitum chrysotrichum isolate 20200806001 chloroplast, complete genome",Aconitum chrysotrichum
Aconitum coreanum,Aconitum coreanum (H.Lév.) Rapaics,8121969,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum coreanum,Aconitum coreanum,(H.Lév.) Rapaics,8121969,,,PX380623.fasta,PX380623.1,"Aconitum coreanum isolate 2024092307 chloroplast, complete genome","PX380623.1 Aconitum coreanum isolate 2024092307 chloroplast, complete genome",Aconitum coreanum
Aconitum fischeri,Aconitum fischeri Rchb.,3033674,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum fischeri,Aconitum fischeri,Rchb.,3033674,,,PX380624.fasta,PX380624.1,"Aconitum fischeri var. arcuatum isolate 2024092305 chloroplast, complete genome","PX380624.1 Aconitum fischeri var. arcuatum isolate 2024092305 chloroplast, complete genome",Aconitum fischeri
Aconitum flavum,Aconitum flavum Hand.-Mazz.,7277341,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum flavum,Aconitum flavum,Hand.-Mazz.,7277341,,,PX380625.fasta,PX380625.1,"Aconitum flavum isolate WH061 chloroplast, complete genome","PX380625.1 Aconitum flavum isolate WH061 chloroplast, complete genome",Aconitum flavum
Aconitum glandulosum,Aconitum glandulosum Rapaics,3925022,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum glandulosum,Aconitum glandulosum,Rapaics,3925022,,,PX380626.fasta,PX380626.1,"Aconitum glandulosum isolate 20240803009 chloroplast, complete genome","PX380626.1 Aconitum glandulosum isolate 20240803009 chloroplast, complete genome",Aconitum glandulosum
Aconitum hemsleyanum,Aconitum hemsleyanum E.Pritz. ex Diels,7277247,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum hemsleyanum,Aconitum hemsleyanum,E.Pritz. ex Diels,7277247,,,PX380627.fasta,PX380627.1,"Aconitum hemsleyanum isolate 20200804017 chloroplast, complete genome","PX380627.1 Aconitum hemsleyanum isolate 20200804017 chloroplast, complete genome",Aconitum hemsleyanum
Aconitum heterophyllum,Aconitum heterophyllum Wall.,7277241,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum heterophyllum,Aconitum heterophyllum,Wall.,7277241,,,PX781441.fasta,PX781441.1,"Aconitum heterophyllum voucher 8658KASH chloroplast, complete genome","PX781441.1 Aconitum heterophyllum voucher 8658KASH chloroplast, complete genome",Aconitum heterophyllum
Aconitum karakolicum,Aconitum karakolicum Rapaics,7277165,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum karakolicum,Aconitum karakolicum,Rapaics,7277165,,,PX686329.fasta,PX686329.1,"Aconitum karakolicum chloroplast, complete genome","PX686329.1 Aconitum karakolicum chloroplast, complete genome",Aconitum karakolicum
Aconitum kirinense,Aconitum kirinense Nakai,7277161,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum kirinense,Aconitum kirinense,Nakai,7277161,,,PX380629.fasta,PX380629.1,"Aconitum kirinense isolate 2024092302 chloroplast, complete genome","PX380629.1 Aconitum kirinense isolate 2024092302 chloroplast, complete genome",Aconitum kirinense
Aconitum kongboense,Aconitum kongboense Lauener,7277142,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum kongboense,Aconitum kongboense,Lauener,7277142,,,PX380630.fasta,PX380630.1,"Aconitum kongboense isolate WH011 chloroplast, complete genome","PX380630.1 Aconitum kongboense isolate WH011 chloroplast, complete genome",Aconitum kongboense
Aconitum kusnezoffii,Aconitum kusnezoffii Rchb.,7277127,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum kusnezoffii,Aconitum kusnezoffii,Rchb.,7277127,,,PX380631.fasta,PX380631.1,"Aconitum kusnezoffii isolate 2024092309 chloroplast, complete genome","PX380631.1 Aconitum kusnezoffii isolate 2024092309 chloroplast, complete genome",Aconitum kusnezoffii
Aconitum lethale,Aconitum lethale Griff.,3923591,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum lethale,Aconitum lethale,Griff.,3923591,,,PX380632.fasta,PX380632.1,"Aconitum lethale isolate WH021 chloroplast, complete genome","PX380632.1 Aconitum lethale isolate WH021 chloroplast, complete genome",Aconitum lethale
Aconitum leucostomum,Aconitum leucostomum Vorosch.,3923562,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum leucostomum,Aconitum leucostomum,Vorosch.,3923562,,,PX380635.fasta,PX380635.1,"Aconitum leucostomum var. hopeiense isolate 2022082401 chloroplast, complete genome","PX380635.1 Aconitum leucostomum var. hopeiense isolate 2022082401 chloroplast, complete genome",Aconitum leucostomum
Aconitum ludlowii,Aconitum ludlowii Exell,3923355,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum ludlowii,Aconitum ludlowii,Exell,3923355,,,PX380636.fasta,PX380636.1,"Aconitum ludlowii isolate YD007 chloroplast, complete genome","PX380636.1 Aconitum ludlowii isolate YD007 chloroplast, complete genome",Aconitum ludlowii
Aconitum macrorhynchum,Aconitum macrorhynchum Turcz. ex Ledeb.,7983338,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum macrorhynchum,Aconitum macrorhynchum,Turcz. ex Ledeb.,7983338,,,PX380637.fasta,PX380637.1,"Aconitum macrorhynchum isolate 2024092303 chloroplast, complete genome","PX380637.1 Aconitum macrorhynchum isolate 2024092303 chloroplast, complete genome",Aconitum macrorhynchum
Aconitum napellus,Aconitum napellus L.,3033665,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum napellus,Aconitum napellus,L.,3033665,,,PP316503.fasta,PP316503.1,"Aconitum napellus chloroplast, complete genome","PP316503.1 Aconitum napellus chloroplast, complete genome",Aconitum napellus
Aconitum naviculare,Aconitum naviculare (Brühl) Stapf,3922672,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum naviculare,Aconitum naviculare,(Brühl) Stapf,3922672,,,PX380639.fasta,PX380639.1,"Aconitum naviculare isolate WH030 chloroplast, complete genome","PX380639.1 Aconitum naviculare isolate WH030 chloroplast, complete genome",Aconitum naviculare
Aconitum pendulum,Aconitum pendulum N.Busch,3922014,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum pendulum,Aconitum pendulum,N.Busch,3922014,,,PX380640.fasta,PX380640.1,"Aconitum pendulum isolate 2023080806 chloroplast, complete genome","PX380640.1 Aconitum pendulum isolate 2023080806 chloroplast, complete genome",Aconitum pendulum
Aconitum pulchellum,Aconitum pulchellum Hand.-Mazz.,7276717,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum pulchellum,Aconitum pulchellum,Hand.-Mazz.,7276717,,,PX380641.fasta,PX380641.1,"Aconitum pulchellum isolate 2022080905 chloroplast, complete genome","PX380641.1 Aconitum pulchellum isolate 2022080905 chloroplast, complete genome",Aconitum pulchellum
Aconitum refractum,Aconitum refractum (Finet & Gagnep.) Hand.-Mazz.,3921355,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum refractum,Aconitum refractum,(Finet & Gagnep.) Hand.-Mazz.,3921355,,,PX686331.fasta,PX686331.1,"Aconitum refractum chloroplast, complete genome","PX686331.1 Aconitum refractum chloroplast, complete genome",Aconitum refractum
Aconitum rotundifolium,Aconitum rotundifolium Kar. & Kir.,3921228,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum rotundifolium,Aconitum rotundifolium,Kar. & Kir.,3921228,,,PX380643.fasta,PX380643.1,"Aconitum rotundifolium isolate 20240809004 chloroplast, complete genome","PX380643.1 Aconitum rotundifolium isolate 20240809004 chloroplast, complete genome",Aconitum rotundifolium
Aconitum scaposum,Aconitum scaposum Franch.,7276635,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum scaposum,Aconitum scaposum,Franch.,7276635,,,PX380644.fasta,PX380644.1,"Aconitum scaposum isolate 2023041402 chloroplast, complete genome","PX380644.1 Aconitum scaposum isolate 2023041402 chloroplast, complete genome",Aconitum scaposum
Aconitum sinomontanum,Aconitum sinomontanum Nakai,3920874,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum sinomontanum,Aconitum sinomontanum,Nakai,3920874,,,PX380645.fasta,PX380645.1,"Aconitum sinomontanum isolate 2022062401 chloroplast, complete genome","PX380645.1 Aconitum sinomontanum isolate 2022062401 chloroplast, complete genome",Aconitum sinomontanum
Aconitum soongaricum,Aconitum soongaricum (Regel) Stapf,7276574,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum soongaricum,Aconitum soongaricum,(Regel) Stapf,7276574,,,PX380646.fasta,PX380646.1,"Aconitum soongaricum isolate 20240802010 chloroplast, complete genome","PX380646.1 Aconitum soongaricum isolate 20240802010 chloroplast, complete genome",Aconitum soongaricum
Aconitum spiripetalum,Aconitum spiripetalum Hand.-Mazz.,3920788,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum spiripetalum,Aconitum spiripetalum,Hand.-Mazz.,3920788,,,PX380647.fasta,PX380647.1,"Aconitum spiripetalum isolate WH063 chloroplast, complete genome","PX380647.1 Aconitum spiripetalum isolate WH063 chloroplast, complete genome",Aconitum spiripetalum
