,Gene,kappa,omega
1,matK,4.40263,1.10544
2,ycf1,0.7642,0.88212
3,accD,1.00E-04,0.65171
4,rpoB,3.75543,0.61051
5,petN,2.08016,0.44872
6,psbK,2.24539,0.44659
7,psbM,2.10898,0.4419
8,psaJ,2.38422,0.43485
9,atpB,2.31986,0.43284
10,psbF,2.46003,0.4289
11,psbE,1.85525,0.42725
12,petG,1.72767,0.42548
13,rps8,2.23774,0.42442
14,rbcL,1.05704,0.42197
15,rps2,2.00301,0.41719
16,rpl32,2.35387,0.4171
17,psbI,1.74437,0.4161
18,psbT,2.40122,0.41504
19,psbH,1.93275,0.41088
20,psaC,6.20869,0.40585
21,ndhJ,2.24661,0.39772
22,psbJ,1.75426,0.38681
23,psaI,1.7083,0.38502
24,pbf1,1.7135,0.38277
25,psbL,1.78678,0.38144
26,ndhE,2.12625,0.37937
27,psbZ,1.90614,0.37875
28,rpl36,2.07435,0.37778
29,ndhI,2.58006,0.37212
30,ndhF,2.8603,0.35278
31,rps3,1.00E-04,0.33464
32,petD,1.00E-04,0.33065
33,rpoC2,2.1787,0.27858
34,rps4,1.66532,0.25006
35,rps16,5.90621,0.24971
36,cemA,1.00E-04,0.14922
37,rpl33,2.25695,0.14751
38,atpA,0.79444,0.1265
39,ndhH,2.15406,0.10881
40,ccsA,2.6319,0.05662
41,rps19,7.64777,1.00E-04
42,psbB,2.70119,1.00E-04
43,rpl16,2.14372,1.00E-04
44,psbA,1.82779,1.00E-04
45,clpP1,1.33205,1.00E-04
46,psbC,0.64552,1.00E-04
47,rpoA,0.62753,1.00E-04
48,rps18,1.00E-04,1.00E-04
49,rpl20,1.00E-04,1.00E-04
50,ndhG,1.00E-04,1.00E-04
51,rps11,1.00E-04,1.00E-04
52,ndhK,1.00E-04,1.00E-04
53,psaB,1.00E-04,1.00E-04
54,rpl14,1.00E-04,1.00E-04
55,rpl22,1.00E-04,1.00E-04
56,pafII,1.00E-04,1.00E-04
57,petB,1.00E-04,1.00E-04
58,psbD,1.00E-04,1.00E-04
59,psaA,1.00E-04,1.00E-04
60,atpH,1.00E-04,1.00E-04
61,atpE,1.00E-04,1.00E-04
62,petA,1.00E-04,1.00E-04
63,rps15,1.00E-04,1.00E-04
64,ndhC,1.00E-04,1.00E-04
65,rps14,1.00E-04,1.00E-04
66,petL,1.00E-04,1.00E-04
