Gene	Location
rps12   LSC
trnH-GUG        LSC
trnH-GUG        LSC
trnH-GUG        LSC
trnH-GUG        LSC
trnH-GUG        LSC
trnH-GUG        LSC
psbA    LSC
trnK-UUU        LSC
trnK-UUU        LSC
matK    LSC
rps16   LSC
trnQ-UUG        LSC
trnQ-UUG        LSC
psbK    LSC
psbI    LSC
trnS-GCU        LSC
trnS-GCU        LSC
trnS-CGA        LSC
trnS-CGA        LSC
trnG-UCC        LSC
trnG-UCC        LSC
trnR-UCU        LSC
trnR-UCU        LSC
atpA    LSC
atpF    LSC
atpH    LSC
atpI    LSC
atpI    LSC
rps2    LSC
rpoC2   LSC
rpoC1   LSC
rpoB    LSC
trnC-GCA        LSC
trnC-GCA        LSC
petN    LSC
psbM    LSC
trnD-GUC        LSC
trnD-GUC        LSC
trnD-GUC        LSC
trnD-GUC        LSC
trnY-GUA        LSC
trnY-GUA        LSC
trnY-GUA        LSC
trnY-GUA        LSC
trnE-UUC        LSC
trnE-UUC        LSC
trnE-UUC        LSC
trnE-UUC        LSC
trnT-GGU        LSC
trnT-GGU        LSC
trnT-GGU        LSC
trnT-GGU        LSC
psbD    LSC
psbC    LSC
trnS-UGA        LSC
trnS-UGA        LSC
psbZ    LSC
trnG-GCC        LSC
trnG-GCC        LSC
trnG-GCC        LSC
trnG-GCC        LSC
trnM-CAU        LSC
trnM-CAU        LSC
rps14   LSC
psaB    LSC
psaA    LSC
pafI    LSC
trnS-GGA        LSC
trnS-GGA        LSC
trnS-GGA        LSC
trnS-GGA        LSC
rps4    LSC
trnT-UGU        LSC
trnT-UGU        LSC
trnT-UGU        LSC
trnT-UGU        LSC
trnL-UAA        LSC
trnL-UAA        LSC
trnF-GAA        LSC
trnF-GAA        LSC
ndhJ    LSC
ndhK    LSC
ndhC    LSC
trnV-UAC        LSC
trnV-UAC        LSC
trnC-ACA        LSC
trnM-CAU        LSC
trnM-CAU        LSC
atpE    LSC
atpB    LSC
rbcL    LSC
accD    LSC
psaI    LSC
pafII   LSC
cemA    LSC
petA    LSC
psbJ    LSC
psbL    LSC
psbF    LSC
psbE    LSC
petL    LSC
petG    LSC
trnW-CCA        LSC
trnW-CCA        LSC
trnP-UGG        LSC
trnP-UGG        LSC
trnP-UGG        LSC
trnP-UGG        LSC
psaJ    LSC
rpl33   LSC
rps18   LSC
rpl20   LSC
rps12   LSC
rps12   LSC
clpP1   LSC
clpP1   LSC
psbB    LSC
psbT    LSC
pbf1    LSC
psbH    LSC
petB    LSC
petD    LSC
rpoA    LSC
rps11   LSC
rpl36   LSC
infA    LSC
rps8    LSC
rpl14   LSC
rpl16   LSC
rps3    LSC
rpl22   LSC
rps19   LSC
rpl2    IR
rpl23   IR
trnM-CAU        IR
trnM-CAU        IR
ycf2    IR
trnL-CAA        IR
trnL-CAA        IR
trnL-CAA        IR
trnL-CAA        IR
ndhB    IR
rps7    IR
trnV-GAC        IR
trnV-GAC        IR
rrn16   IR
rrn16   IR
trnI-GAU        IR
trnE-UUC        IR
trnI-GAU        IR
trnI-GAU        IR
trnA-UGC        IR
trnA-UGC        IR
trnA-UGC        IR
trnA-UGC        IR
trnA-UGC        IR
rrn23   IR
rrn23   IR
rrn23   IR
rrn23   IR
rrn4.5  IR
rrn4.5  IR
rrn5    IR
rrn5    IR
trnR-ACG        IR
trnR-ACG        IR
trnR-ACG        IR
trnR-ACG        IR
trnN-GUU        IR
trnN-GUU        IR
trnN-GUU        IR
trnN-GUU        IR
ycf1    IR
rps15   SSC
ndhH    SSC
ndhA    SSC
ndhI    SSC
ycf2    SSC
ndhG    SSC
ndhE    SSC
psaC    SSC
ndhD    SSC
ccsA    SSC
trnL-UAG        SSC
trnL-UAG        SSC
rpl32   SSC
ndhF    SSC
trnN-GUU        IR
trnN-GUU        IR
trnN-GUU        IR
trnN-GUU        IR
trnR-ACG        IR
trnR-ACG        IR
trnR-ACG        IR
trnR-ACG        IR
rrn5    IR
rrn5    IR
rrn4.5  IR
rrn4.5  IR
rrn23   IR
rrn23   IR
rrn23   IR
rrn23   IR
trnA-UGC        IR
trnA-UGC        IR
trnA-UGC        IR
trnA-UGC        IR
trnA-UGC        IR
trnE-UUC        IR
trnI-GAU        IR
trnI-GAU        IR
trnI-GAU        IR
rrn16   IR
rrn16   IR
trnV-GAC        IR
trnV-GAC        IR
rps7    IR
ndhB    IR
trnL-CAA        IR
trnL-CAA        IR
trnL-CAA        IR
trnL-CAA        IR
ycf2    IR
trnM-CAU        IR
trnM-CAU        IR
rpl23   IR
rpl2    IR
