accession,filename,size_bp,size_kb,size_mb
AP041288,AP041288.fasta,157813,157.81,0.158
AP041397,AP041397.fasta,157897,157.9,0.158
AP044085,AP044085.1.fasta,147984,147.98,0.148
AP044107,AP044107.1.fasta,165715,165.72,0.166
AP044761,AP044761.1.fasta,167910,167.91,0.168
BK059356,BK059356.fasta,139690,139.69,0.14
BK064973,BK064973.fasta,160075,160.07,0.16
BK065791,BK065791.fasta,160237,160.24,0.16
BK065792,BK065792.fasta,160201,160.2,0.16
BK065793,BK065793.fasta,160114,160.11,0.16
BK065794,BK065794.fasta,160165,160.16,0.16
BK065795,BK065795.fasta,160334,160.33,0.16
BK065796,BK065796.fasta,160241,160.24,0.16
BK068666,BK068666.fasta,151868,151.87,0.152
BK068668,BK068668.fasta,151113,151.11,0.151
BK070409,BK070409.1.fasta,122962,122.96,0.123
BK070410,BK070410.1.fasta,124753,124.75,0.125
BK070963,BK070963.fasta,152300,152.3,0.152
BK070964,BK070964.fasta,152258,152.26,0.152
BK070965,BK070965.fasta,152433,152.43,0.152
BK070966,BK070966.fasta,152305,152.31,0.152
BK070967,BK070967.fasta,152421,152.42,0.152
BK070968,BK070968.fasta,152270,152.27,0.152
BK070969,BK070969.fasta,152108,152.11,0.152
BK070970,BK070970.fasta,152457,152.46,0.152
BK070971,BK070971.fasta,152788,152.79,0.153
BK070972,BK070972.fasta,153430,153.43,0.153
BK070973,BK070973.fasta,152631,152.63,0.153
BK070974,BK070974.fasta,152420,152.42,0.152
BK070975,BK070975.fasta,152438,152.44,0.152
BK070976,BK070976.fasta,153151,153.15,0.153
BK070977,BK070977.fasta,152309,152.31,0.152
BK070978,BK070978.fasta,170915,170.91,0.171
BK071447,BK071447.fasta,171748,171.75,0.172
BK071448,BK071448.fasta,171088,171.09,0.171
BK071450,BK071450.fasta,173021,173.02,0.173
BK071451,BK071451.fasta,172648,172.65,0.173
BK071452,BK071452.fasta,171885,171.88,0.172
BK071820,BK071820.fasta,153156,153.16,0.153
BK071821,BK071821.fasta,153151,153.15,0.153
BK071822,BK071822.fasta,152620,152.62,0.153
BK071823,BK071823.fasta,152707,152.71,0.153
BK071824,BK071824.fasta,152707,152.71,0.153
BK071825,BK071825.fasta,153391,153.39,0.153
BK071826,BK071826.fasta,153428,153.43,0.153
BK071827,BK071827.fasta,152639,152.64,0.153
BK071828,BK071828.fasta,152640,152.64,0.153
BK071829,BK071829.fasta,153470,153.47,0.153
BK071830,BK071830.fasta,153137,153.14,0.153
BK071831,BK071831.fasta,152706,152.71,0.153
BK071832,BK071832.fasta,152890,152.89,0.153
BK071833,BK071833.fasta,152769,152.77,0.153
BK071834,BK071834.fasta,152632,152.63,0.153
BK071835,BK071835.fasta,152523,152.52,0.153
BK071836,BK071836.fasta,152478,152.48,0.152
BK071837,BK071837.fasta,152689,152.69,0.153
BK071839,BK071839.fasta,152752,152.75,0.153
BK071840,BK071840.fasta,152612,152.61,0.153
BK071841,BK071841.fasta,151098,151.1,0.151
BK071842,BK071842.fasta,153178,153.18,0.153
BK071843,BK071843.fasta,153261,153.26,0.153
BK071844,BK071844.fasta,153176,153.18,0.153
BK071845,BK071845.fasta,152674,152.67,0.153
BK071846,BK071846.fasta,152687,152.69,0.153
BK071847,BK071847.fasta,152575,152.57,0.153
BK071848,BK071848.fasta,152639,152.64,0.153
BK071849,BK071849.fasta,152577,152.58,0.153
BK071850,BK071850.fasta,152975,152.97,0.153
BK071851,BK071851.fasta,152883,152.88,0.153
