gene,model,lnL,kappa,omega,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS
atpA,M0,-2027.119895,0.79434,0.12645,0.006273,0.0008,0.0067,5.625e-05,0.0004125
atpB,M0,-1983.694415,999.0,0.0001,0.002096,0.0,0.0024,0.0,0.00015
atpE,M0,-531.71415,0.0001,999.0,0.007422,0.0031,0.0,0.00019375,0.0
atpH,M0,-314.844758,999.0,0.0001,0.013058,0.0,0.0172,0.0,0.00106875
atpI,M0,-984.160306,2.27059,999.0,0.008199,0.0036,0.0,0.000225,0.0
ccsA,M0,-1307.197642,3.65375,0.12002,0.023229,0.0028,0.0231,0.00017500000000000003,0.0014437500000000002
cemA,M0,-915.717555,0.0001,0.29898,0.013612,0.0034,0.0113,0.00020625,0.0007125
clpP1,M0,-793.268672,1.33212,0.0001,0.011608,0.0,0.0154,0.0,0.0009625
matK,M0,-2047.96457,4.27016,0.94143,0.02408,0.0079,0.0084,0.0005,0.000525
ndhA,M0,-1455.546592,3.94612,0.64005,0.016945,0.005,0.0078,0.00030625000000000004,0.0004875
ndhB,M0,-2019.199592,1.9596,0.2571,6.4e-05,0.0,0.0,0.0,0.0
ndhC,M0,-461.917179,999.0,0.0001,0.009606,0.0,0.0116,0.0,0.00071875
ndhE,M0,-383.438933,1.89501,0.22685,6.4e-05,0.0,0.0001,0.0,0.0
ndhF,M0,-2902.617358,1.33931,0.47634,0.014102,0.0039,0.0082,0.00024375000000000002,0.0005062500000000001
ndhG,M0,-689.559708,0.0001,999.0,0.011388,0.0047,0.0,0.0002875,0.0
ndhH,M0,-1637.639749,1.52665,0.15934,0.027731,0.0043,0.0269,0.0002625,0.0016875000000000002
ndhI,M0,-706.325312,3.17514,0.25859,0.037487,0.0077,0.0298,0.0004875,0.0018625000000000002
ndhJ,M0,-637.473803,0.0001,999.0,0.006328,0.0025,0.0,0.00015625,0.0
ndhK,M0,-915.744052,0.67714,0.0001,0.014738,0.0,0.0241,0.0,0.0015
pafI,M0,-693.959041,0.36335,0.06126,0.025577,0.0024,0.0391,0.00015,0.0024375
pafII,M0,-730.0019,999.0,0.0001,0.005881,0.0,0.0067,0.0,0.0004125
petA,M0,-1320.320987,0.46989,999.0,0.018769,0.0078,0.0,0.0004875,0.0
petB,M0,-869.763073,999.0,0.0001,0.015032,0.0,0.018,0.0,0.0011250000000000001
petD,M0,-635.473684,999.0,0.33025,0.012971,0.0029,0.0088,0.000175,0.00055
psaA,M0,-3065.52828,4.72122,0.0001,0.007155,0.0,0.0086,0.0,0.0005312499999999999
psaB,M0,-2986.056982,999.0,0.0001,0.008357,0.0,0.0096,0.0,0.0006000000000000001
psaC,M0,-318.191472,1.99295,0.33698,6.4e-05,0.0,0.0,0.0,0.0
psbA,M0,-1417.615894,1.828,0.0001,0.009516,0.0,0.0136,0.0,0.0008437499999999999
psbB,M0,-2053.149822,2.02731,0.0001,0.010834,0.0,0.0148,0.0,0.0009124999999999999
psbD,M0,-1408.091415,999.0,0.0001,0.002998,0.0,0.0033,0.0,0.00020625
psbE,M0,-328.109604,0.0001,0.0001,6.4e-05,0.0,0.0001,0.0,0.0
psbH,M0,-285.662664,999.0,0.0001,0.013764,0.0,0.0206,0.0,0.00128125
psbK,M0,-229.952236,0.0001,0.0001,6.4e-05,0.0,0.0001,0.0,0.0
psbZ,M0,-224.569823,0.0001,0.75482,6.4e-05,0.0,0.0,0.0,0.0
rbcL,M0,-1979.176433,1.88855,0.65346,0.021472,0.0064,0.0098,0.0003875,0.0006125
rpl14,M0,-486.438731,999.0,0.0001,0.016862,0.0,0.0221,0.0,0.001375
rpl2,M0,-1096.99376,0.0001,999.0,0.003792,0.0016,0.0,9.375e-05,0.0
rpl20,M0,-485.852902,1.46942,0.98367,0.043877,0.0146,0.0148,0.0009125,0.000925
rpl22,M0,-615.958764,0.0001,999.0,0.020083,0.008,0.0,0.00050625,0.0
rpl23,M0,-366.631872,1.28486,0.0001,6.4e-05,0.0,0.0001,0.0,0.0
rpl32,M0,-211.925063,1.00738,0.0001,0.040265,0.0,0.0792,0.0,0.00494375
rpl33,M0,-284.486517,0.92879,0.07338,0.060622,0.0063,0.0856,0.00039375,0.00535
rpoA,M0,-1324.135,1.2557,999.0,0.018355,0.0075,0.0,0.00048124999999999996,0.0
rpoB,M0,-4285.15549,1.96352,0.81114,0.00385,0.0012,0.0015,7.5e-05,9.375e-05
rpoC1,M0,-2742.478446,3.15501,1.09036,0.0075,0.0025,0.0023,0.00015625,0.00015625
rpoC2,M0,-5738.624217,2.0827,0.25261,0.016936,0.0034,0.0135,0.00019999999999999998,0.00085
rps11,M0,-543.361906,999.0,0.0001,0.016493,0.0,0.0248,0.0,0.00154375
rps14,M0,-403.434553,0.0001,999.0,0.010042,0.004,0.0,0.00025,0.0
rps15,M0,-343.534755,999.0,0.0001,0.010411,0.0,0.0122,0.0,0.0007625
rps16,M0,-370.26017,5.91006,0.24941,0.047006,0.0097,0.039,0.0006,0.0024312500000000003
rps18,M0,-408.980037,999.0,0.76624,0.030703,0.0095,0.0124,0.0006000000000000001,0.0007687500000000001
rps19,M0,-359.393897,999.0,999.0,0.010884,0.0049,0.0,0.0003,0.0
rps2,M0,-937.144588,0.0001,999.0,0.004288,0.0017,0.0,0.00010625,0.0
rps3,M0,-857.172423,999.0,0.33463,0.009492,0.0021,0.0063,0.0001375,0.0003875
rps4,M0,-808.522833,1.66532,0.25007,0.01027,0.0021,0.0085,0.0001375,0.000525
rps7,M0,-607.221002,2.04797,0.0001,6.4e-05,0.0,0.0001,0.0,0.0
rps8,M0,-535.003996,0.0001,0.0001,0.013275,0.0,0.0252,0.0,0.0015625
ycf1,M0,-7788.453625,0.92199,0.7394,0.036555,0.0115,0.0156,0.0007062500000000001,0.0009750000000000001
