"","gene","model","lnL","kappa","omega","tree_length","tree_length_dN","tree_length_dS","mean_dN","mean_dS","p0","p1","w0","w1","p2","w2","n_positive_sites","beta_p","beta_q","w_positive"
"1","atpA","M0",-2027.119895,0.79434,0.12645,0.006273,8e-04,0.0067,5.625e-05,0.0004125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","atpB","M0",-1983.694415,999,1e-04,0.002096,0,0.0024,0,0.00015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","atpE","M0",-531.71415,1e-04,999,0.007422,0.0031,0,0.00019375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","atpH","M0",-314.844758,999,1e-04,0.013058,0,0.0172,0,0.00106875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","atpI","M0",-984.160306,2.27059,999,0.008199,0.0036,0,0.000225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ccsA","M0",-1307.197642,3.65375,0.12002,0.023229,0.0028,0.0231,0.000175,0.00144375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","cemA","M0",-915.717555,1e-04,0.29898,0.013612,0.0034,0.0113,0.00020625,0.0007125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","clpP1","M0",-793.268672,1.33212,1e-04,0.011608,0,0.0154,0,0.0009625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","matK","M0",-2047.96457,4.27016,0.94143,0.02408,0.0079,0.0084,5e-04,0.000525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ndhA","M0",-1455.546592,3.94612,0.64005,0.016945,0.005,0.0078,0.00030625,0.0004875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ndhB","M0",-2019.199592,1.9596,0.2571,6.4e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ndhC","M0",-461.917179,999,1e-04,0.009606,0,0.0116,0,0.00071875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ndhE","M0",-383.438933,1.89501,0.22685,6.4e-05,0,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ndhF","M0",-2902.617358,1.33931,0.47634,0.014102,0.0039,0.0082,0.00024375,0.00050625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ndhG","M0",-689.559708,1e-04,999,0.011388,0.0047,0,0.0002875,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ndhH","M0",-1637.639749,1.52665,0.15934,0.027731,0.0043,0.0269,0.0002625,0.0016875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ndhI","M0",-706.325312,3.17514,0.25859,0.037487,0.0077,0.0298,0.0004875,0.0018625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ndhJ","M0",-637.473803,1e-04,999,0.006328,0.0025,0,0.00015625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ndhK","M0",-915.744052,0.67714,1e-04,0.014738,0,0.0241,0,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","pafI","M0",-693.959041,0.36335,0.06126,0.025577,0.0024,0.0391,0.00015,0.0024375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","pafII","M0",-730.0019,999,1e-04,0.005881,0,0.0067,0,0.0004125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","petA","M0",-1320.320987,0.46989,999,0.018769,0.0078,0,0.0004875,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","petB","M0",-869.763073,999,1e-04,0.015032,0,0.018,0,0.001125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","petD","M0",-635.473684,999,0.33025,0.012971,0.0029,0.0088,0.000175,0.00055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","psaA","M0",-3065.52828,4.72122,1e-04,0.007155,0,0.0086,0,0.00053124999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","psaB","M0",-2986.056982,999,1e-04,0.008357,0,0.0096,0,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","psaC","M0",-318.191472,1.99295,0.33698,6.4e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","psbA","M0",-1417.615894,1.828,1e-04,0.009516,0,0.0136,0,0.00084374999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","psbB","M0",-2053.149822,2.02731,1e-04,0.010834,0,0.0148,0,0.00091249999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","psbD","M0",-1408.091415,999,1e-04,0.002998,0,0.0033,0,0.00020625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","psbE","M0",-328.109604,1e-04,1e-04,6.4e-05,0,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","psbH","M0",-285.662664,999,1e-04,0.013764,0,0.0206,0,0.00128125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","psbK","M0",-229.952236,1e-04,1e-04,6.4e-05,0,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","psbZ","M0",-224.569823,1e-04,0.75482,6.4e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","rbcL","M0",-1979.176433,1.88855,0.65346,0.021472,0.0064,0.0098,0.0003875,0.0006125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","rpl14","M0",-486.438731,999,1e-04,0.016862,0,0.0221,0,0.001375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","rpl2","M0",-1096.99376,1e-04,999,0.003792,0.0016,0,9.375e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","rpl20","M0",-485.852902,1.46942,0.98367,0.043877,0.0146,0.0148,0.0009125,0.000925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","rpl22","M0",-615.958764,1e-04,999,0.020083,0.008,0,0.00050625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","rpl23","M0",-366.631872,1.28486,1e-04,6.4e-05,0,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","rpl32","M0",-211.925063,1.00738,1e-04,0.040265,0,0.0792,0,0.00494375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","rpl33","M0",-284.486517,0.92879,0.07338,0.060622,0.0063,0.0856,0.00039375,0.00535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","rpoA","M0",-1324.135,1.2557,999,0.018355,0.0075,0,0.00048124999999999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","rpoB","M0",-4285.15549,1.96352,0.81114,0.00385,0.0012,0.0015,7.5e-05,9.375e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","rpoC1","M0",-2742.478446,3.15501,1.09036,0.0075,0.0025,0.0023,0.00015625,0.00015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","rpoC2","M0",-5738.624217,2.0827,0.25261,0.016936,0.0034,0.0135,0.00019999999999999,0.00085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","rps11","M0",-543.361906,999,1e-04,0.016493,0,0.0248,0,0.00154375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","rps14","M0",-403.434553,1e-04,999,0.010042,0.004,0,0.00025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","rps15","M0",-343.534755,999,1e-04,0.010411,0,0.0122,0,0.0007625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","rps16","M0",-370.26017,5.91006,0.24941,0.047006,0.0097,0.039,6e-04,0.00243125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","rps18","M0",-408.980037,999,0.76624,0.030703,0.0095,0.0124,6e-04,0.00076875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","rps19","M0",-359.393897,999,999,0.010884,0.0049,0,3e-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","rps2","M0",-937.144588,1e-04,999,0.004288,0.0017,0,0.00010625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","rps3","M0",-857.172423,999,0.33463,0.009492,0.0021,0.0063,0.0001375,0.0003875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","rps4","M0",-808.522833,1.66532,0.25007,0.01027,0.0021,0.0085,0.0001375,0.000525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","rps7","M0",-607.221002,2.04797,1e-04,6.4e-05,0,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","rps8","M0",-535.003996,1e-04,1e-04,0.013275,0,0.0252,0,0.0015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ycf1","M0",-7788.453625,0.92199,0.7394,0.036555,0.0115,0.0156,0.00070625,0.000975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","atpA","M1a",-2027.119534,0.79438,NA,0.006273,NA,NA,5.625e-05,0.0004125,0.99999,1e-05,0.12645,1,NA,NA,NA,NA,NA,NA
"60","atpB","M1a",-1983.694198,999,NA,0.002096,NA,NA,0,0.00015,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"61","atpE","M1a",-531.924904,1e-04,NA,0.00762,NA,NA,0.00015625,0.00015625,1e-05,0.99999,0.12687,1,NA,NA,NA,NA,NA,NA
"62","atpH","M1a",-314.844484,999,NA,0.013058,NA,NA,0,0.00106875,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"63","atpI","M1a",-984.692936,1.98618,NA,0.008333,NA,NA,0.000175,0.000175,1e-05,0.99999,0.06405,1,NA,NA,NA,NA,NA,NA
"64","ccsA","M1a",-1307.197645,3.65366,NA,0.023229,NA,NA,0.000175,0.00144375,0.99999,1e-05,0.12001,1,NA,NA,NA,NA,NA,NA
"65","cemA","M1a",-915.717556,1e-04,NA,0.013613,NA,NA,0.00020625,0.0007125,0.99999,1e-05,0.29898,1,NA,NA,NA,NA,NA,NA
"66","clpP1","M1a",-793.26806,1.3319,NA,0.011608,NA,NA,0,0.0009625,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"67","matK","M1a",-2047.96457,4.27023,NA,0.02408,NA,NA,5e-04,0.000525,0.99999,1e-05,0.94144,1,NA,NA,NA,NA,NA,NA
"68","ndhA","M1a",-1455.546592,3.9466,NA,0.016945,NA,NA,0.00030625,0.0004875,0.99999,1e-05,0.64007,1,NA,NA,NA,NA,NA,NA
"69","ndhB","M1a",-2019.198982,1.85028,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"70","ndhC","M1a",-461.916911,999,NA,0.009606,NA,NA,0,0.00071875,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"71","ndhE","M1a",-383.43833,1e-04,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"72","ndhF","M1a",-2902.617358,1.33844,NA,0.014101,NA,NA,0.00024375,0.00050625,0.99999,1e-05,0.4763,1,NA,NA,NA,NA,NA,NA
"73","ndhG","M1a",-689.958538,1e-04,NA,0.011581,NA,NA,0.0002375,0.0002375,1e-05,0.99999,0.27377,1,NA,NA,NA,NA,NA,NA
"74","ndhH","M1a",-1635.721914,1.43265,NA,0.028079,NA,NA,0.00019999999999999,0.0019375,0.89187,0.10813,0,1,NA,NA,NA,NA,NA,NA
"75","ndhI","M1a",-706.308707,3.17811,NA,0.038164,NA,NA,0.0004875,0.001875,0.7355,0.2645,0,1,NA,NA,NA,NA,NA,NA
"76","ndhJ","M1a",-637.61773,1e-04,NA,0.006443,NA,NA,0.00013125,0.00013125,0.97167,0.02833,1,1,NA,NA,NA,NA,NA,NA
"77","ndhK","M1a",-915.742895,0.67702,NA,0.014739,NA,NA,0,0.0015,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"78","pafI","M1a",-693.95905,0.36336,NA,0.025577,NA,NA,0.00015,0.0024375,0.99999,1e-05,0.06126,1,NA,NA,NA,NA,NA,NA
"79","pafII","M1a",-730.001675,999,NA,0.005881,NA,NA,0,0.0004125,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"80","petA","M1a",-1321.537817,0.40483,NA,0.019004,NA,NA,0.00040625,0.00040625,0.13713,0.86287,1,1,NA,NA,NA,NA,NA,NA
"81","petB","M1a",-869.762334,999,NA,0.015032,NA,NA,0,0.001125,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
