"","Gene","Pi","pi","Location"
"1","accD",0.00063,0.00063,"LSC"
"2","atpA",0.00061,0.00061,"LSC"
"3","atpE",0.00062,0.00062,"LSC"
"4","atpF",0.00135,0.00135,"LSC"
"5","atpH",0.00102,0.00102,"LSC"
"6","atpI",0.00034,0.00034,"LSC"
"8","ccsA",0.00173,0.00173,"SSC"
"9","cemA",0.00072,0.00072,"LSC"
"10","clpP1",0.00163,0.00163,"LSC"
"12","infA",0.0131,0.0131,"LSC"
"13","matK",0.00222,0.00222,"LSC"
"14","ndhA",0.00203,0.00203,"SSC"
"15","ndhC",0.00069,0.00069,"LSC"
"16","ndhD",0.00245,0.00245,"SSC"
"17","ndhF",0.00092,0.00092,"SSC"
"18","ndhG",0.00094,0.00094,"SSC"
"19","ndhH",0.00248,0.00248,"SSC"
"20","ndhI",0.00305,0.00305,"SSC"
"21","ndhK",0.00063,0.00063,"LSC"
"22","pafI",0.00049,0.00049,"LSC"
"23","pafII",0.00045,0.00045,"LSC"
"24","petA",0.00108,0.00108,"LSC"
"25","petB",0.00132,0.00132,"LSC"
"26","petD",0.002,0.002,"LSC"
"27","petL",0.0026,0.0026,"LSC"
"28","psaA",0.00049,0.00049,"LSC"
"29","psaB",0.00053,0.00053,"LSC"
"30","psbA",0.00098,0.00098,"LSC"
"31","psbB",0.00073,0.00073,"LSC"
"32","psbC",8e-04,8e-04,"LSC"
"33","psbD",0.00024,0.00024,"LSC"
"34","rbcL",0.00264,0.00264,"LSC"
"35","rpl14",0.00213,0.00213,"LSC"
"36","rpl16",0.00123,0.00123,"LSC"
"37","rpl20",0.00071,0.00071,"LSC"
"38","rpl22",0.00164,0.00164,"LSC"
"39","rpl33",0.00462,0.00462,"LSC"
"40","rpoA",0.00192,0.00192,"LSC"
"41","rpoB",0.00023,0.00023,"LSC"
"42","rpoC1",0.00051,0.00051,"LSC"
"43","rpoC2",0.00112,0.00112,"LSC"
"44","rps11",0.00137,0.00137,"LSC"
"45","rps14",0.00141,0.00141,"LSC"
"46","rps15",0.00092,0.00092,"SSC"
"47","rps16",0.00548,0.00548,"LSC"
"48","rps18",0.00257,0.00257,"LSC"
"49","rps3",0.00076,0.00076,"LSC"
"50","rps4",0.00083,0.00083,"LSC"
"51","ycf1",0.00327,0.00327,"IR"
