Gene	Pi
rps12	0
trnH-GUG	0
psbA	0.00098
trnK-UUU	0.00000
matK	0.00222
rps16	0.00548
trnQ-UUG	0.00000
psbK	0.00000
psbI	0.00000
trnS-GCU	0.00000
trnS-CGA	0.00000
trnG-UCC	0.00000
trnR-UCU	0.00000
atpA	0.00061
atpF	0.00135
atpH	0.00102
atpI	0.00034
rps2	0.00000
rpoC2	0.00112
rpoC1	0.00051
rpoB	0.00023
trnC-GCA	0.00000
petN	0.00000
psbM	0.00000
trnD-GUC	0.00000
trnY-GUA	0.00000
trnE-UUC	0
trnT-GGU	0.00000
psbD	0.00024
psbC	0.00080
trnS-UGA	0.00000
psbZ	0.00000
trnG-GCC	0.00000
trnM-CAU	0
rps14	0.00141
psaB	0.00053
psaA	0.00049
pafI	0.00049
trnS-GGA	0.00000
rps4	0.00083
trnT-UGU	0.00000
trnL-UAA	0.00000
trnF-GAA	0.00000
ndhJ	0.00000
ndhK	0.00063
ndhC	0.00069
trnV-UAC	0.00000
trnC-ACA	0.00000
atpE	0.00062
atpB	0.00000
rbcL	0.00264
accD	0.00063
psaI	0.00000
pafII	0.00045
cemA	0.00072
petA	0.00108
psbJ	0.00000
psbL	0.00000
psbF	0.00000
psbE	0.00000
petL	0.00260
petG	0.00000
trnW-CCA	0.00000
trnP-UGG	0.00000
psaJ	0.00000
rpl33	0.00462
rps18	0.00257
rpl20	0.00071
clpP1	0.00163
psbB	0.00073
psbT	0.00000
pbf1	0.00000
psbH	0.00000
petB	0.00132
petD	0.00200
rpoA	0.00192
rps11	0.00137
rpl36	0.00000
infA	0.01310
rps8	0.00000
rpl14	0.00213
rpl16	0.00123
rps3	0.00076
rpl22	0.00164
rps19	0.00000
rpl2	0.00000
rpl23	0.00000
ycf2	0
trnL-CAA	0
ndhB	0.00000
rps7	0.00000
trnV-GAC	0.00000
rrn16	0.00000
trnI-GAU	0
trnA-UGC	0
rrn23	0
rrn4.5	0.00000
rrn5	0.00000
trnR-ACG	0
trnN-GUU	0
ndhF	0.00092
rpl32	0.00000
trnL-UAG	0.00000
ccsA	0.00173
ndhD	0.00245
psaC	0.00000
ndhE	0.00000
ndhG	0.00094
ndhI	0.00305
ndhA	0.00203
ndhH	0.00248
rps15	0.00092
ycf1	0.00327
