"","Query","Subject","ANI","Aligned_length","Query_length"
"1","Aneurinibacillus_sp._Ricciae_BoGa-3.fna","Aneurinibacillus_sp._Ricciae_BoGa-3.fna",100,1896,1900
"2","B._altitudinis_strain_Ba_5.fna","B._altitudinis_strain_Ba_5.fna",100,1244,1244
"3","B._altitudinis_strain_Ba_5.fna","B._altitudinis_strain_BDGP7.fna",97.9254,1185,1244
"4","B._altitudinis_strain_Ba_5.fna","B._pumilus_strain_27-WTB.fna",89.1757,1121,1244
"5","B._altitudinis_strain_BDGP7.fna","B._altitudinis_strain_BDGP7.fna",100,1253,1253
"6","B._altitudinis_strain_BDGP7.fna","B._altitudinis_strain_Ba_5.fna",97.925,1182,1253
"7","B._altitudinis_strain_BDGP7.fna","B._pumilus_strain_27-WTB.fna",89.1444,1136,1253
"8","B._cereus_strain_PT1.fna","B._cereus_strain_PT1.fna",100,1737,1742
"9","B._cereus_strain_PT1.fna","B._toyonensis_strain_Bto-42.fna",90.8451,1508,1742
"10","B._cereus_strain_PT1.fna","B._paranthracis_strain_KF11.fna",90.0964,1475,1742
"11","B._halotolerans_strain_KKD1.fna","B._halotolerans_strain_KKD1.fna",100,1408,1416
"12","B._halotolerans_strain_KKD1.fna","B._subtilis_strain_4ZT.fna",87.7357,1227,1416
"13","B._halotolerans_strain_KKD1.fna","B._subtilis_strain_YZ-1.fna",87.5132,1228,1416
"14","B._halotolerans_strain_KKD1.fna","B._subtilis_strain_K35-1.fna",87.478,1211,1416
"15","B._halotolerans_strain_KKD1.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",87.4089,1201,1416
"16","B._halotolerans_strain_KKD1.fna","B._subtilis_strain_PK5_52.fna",87.4017,1209,1416
"17","B._halotolerans_strain_KKD1.fna","B._subtilis_strain_SRCM116301.fna",87.332,1206,1416
"18","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_SCGB_574.fna",81.086,731,1416
"19","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_JM199.fna",81.0834,759,1416
"20","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_Pm9.fna",81.0732,728,1416
"21","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_BS-G1.fna",81.0693,720,1416
"22","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_DJ4.fna",81.0599,754,1416
"23","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_NJAU-Z9.fna",81.0216,735,1416
"24","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_Ag75.fna",80.9662,747,1416
"25","B._halotolerans_strain_KKD1.fna","B._velezensis_strain_SMU-T0423.fna",80.964,735,1416
"26","B._halotolerans_strain_KKD1.fna","Strain_FO-S2.fna",80.8142,744,1416
"27","B._halotolerans_strain_KKD1.fna","B._sonorensis_strain_SRCM101395.fna",79.0321,390,1416
"28","B._halotolerans_strain_KKD1.fna","B._paralicheniformis_strain_SUBG0010.fna",78.8512,366,1416
"29","B._hominis_strain_Tbg-280.fna","B._hominis_strain_Tbg-280.fna",100,1809,1809
"30","B._paralicheniformis_strain_SUBG0010.fna","B._paralicheniformis_strain_SUBG0010.fna",100,1439,1439
"31","B._paralicheniformis_strain_SUBG0010.fna","B._sonorensis_strain_SRCM101395.fna",83.1888,1045,1439
"32","B._paralicheniformis_strain_SUBG0010.fna","B._subtilis_strain_K35-1.fna",79.1407,347,1439
"33","B._paralicheniformis_strain_SUBG0010.fna","B._subtilis_strain_SRCM116301.fna",79.1319,336,1439
"34","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_Pm9.fna",79.1245,345,1439
"35","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_SMU-T0423.fna",79.1231,346,1439
"36","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_SCGB_574.fna",79.0947,365,1439
"37","B._paralicheniformis_strain_SUBG0010.fna","B._subtilis_strain_YZ-1.fna",79.0774,334,1439
"38","B._paralicheniformis_strain_SUBG0010.fna","B._subtilis_strain_PK5_52.fna",79.0758,340,1439
"39","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_NJAU-Z9.fna",78.9555,351,1439
"40","B._paralicheniformis_strain_SUBG0010.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",78.9533,339,1439
"41","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_Ag75.fna",78.8952,339,1439
"42","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_BS-G1.fna",78.8944,352,1439
"43","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_JM199.fna",78.8853,362,1439
"44","B._paralicheniformis_strain_SUBG0010.fna","B._subtilis_strain_4ZT.fna",78.8739,337,1439
"45","B._paralicheniformis_strain_SUBG0010.fna","B._velezensis_strain_DJ4.fna",78.8384,345,1439
"46","B._paralicheniformis_strain_SUBG0010.fna","B._halotolerans_strain_KKD1.fna",78.8129,375,1439
"47","B._paralicheniformis_strain_SUBG0010.fna","Strain_FO-S2.fna",78.5186,348,1439
"48","B._paranthracis_strain_KF11.fna","B._paranthracis_strain_KF11.fna",100,1853,1853
"49","B._paranthracis_strain_KF11.fna","B._toyonensis_strain_Bto-42.fna",90.7843,1472,1853
"50","B._paranthracis_strain_KF11.fna","B._cereus_strain_PT1.fna",90.1066,1472,1853
"51","B._pumilus_strain_27-WTB.fna","B._pumilus_strain_27-WTB.fna",100,1263,1264
