Locus	IGS	Pi
LSC	trnH-GUG-psbA	0.01533
LSC	psbA-trnK-UUU_2	0.00089
LSC	trnK-UUU_2-matK	0.00256
LSC	matK-trnK-UUU_1	0.00223
LSC	trnK-UUU_1-rps16_2	0.00196
LSC	rps16_2-rps16_1	0.00187
LSC	rps16_1-trnQ-UUG	0.00222
LSC	trnQ-UUG-psbK	0.00232
LSC	psbK-psbI	0.00137
LSC	psbI-trnS-GCU	0
LSC	trnG-UCC_2-trnR-UCU	0.02504
LSC	trnR-UCU-atpA	0.00938
LSC	atpA-atpF_2	0.00352
LSC	atpF_1-atpH	0.00508
LSC	atpH-atpI	0.00341
LSC	atpI-rps2	0
LSC	rps2-rpoC2	0.00106
LSC	rpoC2-rpoC1_2	0
LSC	rpoC1_2-rpoC1_1	0.00145
LSC	rpoC1_1-rpoB	0
LSC	rpoB-trnC-GCA	0.00372
LSC	trnC-GCA-petN	0.0064
LSC	petN-psbM	0.00249
LSC	psbM-trnD-GUC	0.00089
LSC	trnD-GUC-trnY-GUA	0.00139
LSC	trnY-GUA-trnE-UUC	0.00739
LSC	trnE-UUC-trnT-GGU	0.00267
LSC	trnT-GGU-psbD	0.00412
LSC	trnS-UGA-psbZ	0.0014
LSC	psbZ-trnG-GCC	0.00656
IR	trnG-GCC-trnM-CAU	0.00298
IR	trnM-CAU	0.038496
LSC	rps14-psaB	0
LSC	psaB-psaA	0
LSC	psaA-pafI_3	0.00266
LSC	pafI_3-pafI_2	0.00128
LSC	pafI_2-pafI_1	0.00139
LSC	pafI_1-trnS-GGA	0.00197
LSC	trnS-GGA-rps4	0.00349
LSC	rps4-trnT-UGU	0
IR	trnT-UGU-trnL-UAA_1	0.00519
IR	trnL-UAA_1-trnL-UAA_2	0.00424
LSC	trnL-UAA_2-trnF-GAA	0.00387
LSC	trnF-GAA-ndhJ	0.00298
LSC	ndhJ-ndhK	0.00187
LSC	ndhK-ndhC	0
IR	trnV-UAC_1-trnM-CAU	0.00387
IR	trnM-CAU-atpE	0.00555
LSC	atpB-rbcL	0.00451
LSC	rbcL-accD	0.00156
LSC	accD-psaI	0.00688
LSC	psaI-pafII	0.00061
LSC	pafII-cemA	0.00315
LSC	cemA-petA	0
LSC	petA-psbJ	0.00389
LSC	psbJ-psbL	0
LSC	psbL-psbF	0
LSC	psbF-psbE	0
LSC	psbE-petL	0.00395
LSC	petL-petG	0.00141
LSC	petG-trnW-CCA	0.00753
LSC	trnW-CCA-trnP-UGG	0.00363
LSC	trnP-UGG-psaJ	0.00527
LSC	psaJ-rpl33	0.00542
LSC	rpl33-rps18	0.00339
LSC	rps18-rpl20	0.00566
LSC	rpl20-rps12	0.00073
IR	rps12_1-clpP1	0
LSC	clpP1_3-clpP1_2	0.00715
LSC	clpP1_2-clpP1_1	0.00367
LSC	clpP1_1-psbB	0
LSC	psbB-psbT	0.00137
LSC	psbT-pbf1	0
LSC	pbf1-psbH	0.0024
LSC	psbH-petB_1	0.00586
LSC	petB_1-petB_2	0.00031
LSC	petB_2-petD_1	0.00202
LSC	petD_1-petD_2	0.00127
LSC	petD_2-rpoA	0.01952
LSC	rpoA-rps11	0.00385
LSC	rps11-rpl36	0.00302
LSC	rpl36-infA	0
LSC	infA-rps8	0.00194
LSC	rps8-rpl14	0.00158
LSC	rpl14-rpl16_2	0.00857
LSC	rpl16_2-rpl16_1	0.00358
LSC	rpl16_1-rps3	0.00409
LSC	rps3-rpl22	0
LSC	rpl22-rps19	0
SSC	rps19-rpl2_2	0.01067
IR	rpl2_2-rpl2_1	0.00071
IR	rpl2_1-rpl23	0
IR	rpl23-trnM-CAU	0
IR	trnM-CAU	0.038496
IR	ycf2-trnL-CAA	0.00026
IR	trnL-CAA-ndhB_2	0.0004
IR	ndhB_2-ndhB_1	0
IR	ndhB_1-rps7	0
IR	rps7-rps12_3	0
IR	rps12_3-rps12_2	0.0008
IR	rps12_2-trnV-GAC	0.00063
IR	trnV-GAC-rrn16	0
IR	trnA-UGC_2-rrn23	0
IR	rrn23-rrn4.5	0
IR	rrn4.5-rrn5	0
IR	rrn5-trnR-ACG	0
IR	trnR-ACG-trnN-GUU	0.00204
IR	trnN-GUU-trnR-ACG	0.00204
IR	trnR-ACG-rrn5	0.00212
IR	rrn5-rrn4.5	0
IR	rrn4.5-rrn23	0
IR	rrn23-trnA-UGC_2	0
IR	trnA-UGC_2-trnA-UGC	0
IR	trnE-UUC_1-rrn16	0.00195
IR	rrn16-trnV-GAC	0
IR	trnV-GAC-rps12_2	0.00063
IR	rps12_2-rps12_3	0.0008
IR	rps12_3-rps7	0
IR	rps7-ndhB_1	0
IR	ndhB_1-ndhB_2	0
IR	ndhB_2-trnL-CAA	0.0004
IR	trnL-CAA-ycf2	0.00026
IR	ycf2-trnM-CAU	0
IR	trnM-CAU	0.038496
IR	rpl23-rpl2_1	0
IR	rpl2_1-rpl2_2	0.00071
LSC	rpl2_2-trnH-GUG	0.01334
