"","model_test","gene","p_M1a_M2a","sig_M1a_M2a","sig_M7_M8","pos_sel_both","model","lnL","stat_test","stat_value"
"1","M0","atpA",1,FALSE,FALSE,FALSE,"lnL_M0",-2027.119895,"LRT_M1a_M2a",0
"2","M0","atpA",1,FALSE,FALSE,FALSE,"lnL_M0",-2027.119895,"LRT_M7_M8",-0.000363999999990483
"3","M0","atpA",1,FALSE,FALSE,FALSE,"lnL_M0",-2027.119895,"p_M7_M8",1
"4","M1a","atpA",1,FALSE,FALSE,FALSE,"lnL_M1a",-2027.119534,"LRT_M1a_M2a",0
"5","M1a","atpA",1,FALSE,FALSE,FALSE,"lnL_M1a",-2027.119534,"LRT_M7_M8",-0.000363999999990483
"6","M1a","atpA",1,FALSE,FALSE,FALSE,"lnL_M1a",-2027.119534,"p_M7_M8",1
"7","M2a","atpA",1,FALSE,FALSE,FALSE,"lnL_M2a",-2027.119534,"LRT_M1a_M2a",0
"8","M2a","atpA",1,FALSE,FALSE,FALSE,"lnL_M2a",-2027.119534,"LRT_M7_M8",-0.000363999999990483
"9","M2a","atpA",1,FALSE,FALSE,FALSE,"lnL_M2a",-2027.119534,"p_M7_M8",1
"10","M7","atpA",1,FALSE,FALSE,FALSE,"lnL_M7",-2027.119557,"LRT_M1a_M2a",0
"11","M7","atpA",1,FALSE,FALSE,FALSE,"lnL_M7",-2027.119557,"LRT_M7_M8",-0.000363999999990483
"12","M7","atpA",1,FALSE,FALSE,FALSE,"lnL_M7",-2027.119557,"p_M7_M8",1
"13","M8","atpA",1,FALSE,FALSE,FALSE,"lnL_M8",-2027.119739,"LRT_M1a_M2a",0
"14","M8","atpA",1,FALSE,FALSE,FALSE,"lnL_M8",-2027.119739,"LRT_M7_M8",-0.000363999999990483
"15","M8","atpA",1,FALSE,FALSE,FALSE,"lnL_M8",-2027.119739,"p_M7_M8",1
"16","M0","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M0",-1983.694415,"LRT_M1a_M2a",4.79999998788116e-05
"17","M0","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M0",-1983.694415,"LRT_M7_M8",-0.00806199999988166
"18","M0","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M0",-1983.694415,"p_M7_M8",1
"19","M1a","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M1a",-1983.694198,"LRT_M1a_M2a",4.79999998788116e-05
"20","M1a","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M1a",-1983.694198,"LRT_M7_M8",-0.00806199999988166
"21","M1a","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M1a",-1983.694198,"p_M7_M8",1
"22","M2a","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M2a",-1983.694174,"LRT_M1a_M2a",4.79999998788116e-05
"23","M2a","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M2a",-1983.694174,"LRT_M7_M8",-0.00806199999988166
"24","M2a","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M2a",-1983.694174,"p_M7_M8",1
"25","M7","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M7",-1983.694172,"LRT_M1a_M2a",4.79999998788116e-05
"26","M7","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M7",-1983.694172,"LRT_M7_M8",-0.00806199999988166
"27","M7","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M7",-1983.694172,"p_M7_M8",1
"28","M8","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M8",-1983.698203,"LRT_M1a_M2a",4.79999998788116e-05
"29","M8","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M8",-1983.698203,"LRT_M7_M8",-0.00806199999988166
"30","M8","atpB",0.999976000288058,FALSE,FALSE,FALSE,"lnL_M8",-1983.698203,"p_M7_M8",1
"31","M0","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M0",-531.71415,"LRT_M1a_M2a",0.421507999999903
"32","M0","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M0",-531.71415,"LRT_M7_M8",0.832053999999971
"33","M0","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M0",-531.71415,"p_M7_M8",0.659662459357547
"34","M1a","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M1a",-531.924904,"LRT_M1a_M2a",0.421507999999903
"35","M1a","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M1a",-531.924904,"LRT_M7_M8",0.832053999999971
"36","M1a","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M1a",-531.924904,"p_M7_M8",0.659662459357547
"37","M2a","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M2a",-531.71415,"LRT_M1a_M2a",0.421507999999903
"38","M2a","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M2a",-531.71415,"LRT_M7_M8",0.832053999999971
"39","M2a","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M2a",-531.71415,"p_M7_M8",0.659662459357547
"40","M7","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M7",-531.924903,"LRT_M1a_M2a",0.421507999999903
"41","M7","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M7",-531.924903,"LRT_M7_M8",0.832053999999971
"42","M7","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M7",-531.924903,"p_M7_M8",0.659662459357547
"43","M8","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M8",-531.508876,"LRT_M1a_M2a",0.421507999999903
"44","M8","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M8",-531.508876,"LRT_M7_M8",0.832053999999971
"45","M8","atpE",0.809973295805921,FALSE,FALSE,FALSE,"lnL_M8",-531.508876,"p_M7_M8",0.659662459357547
"46","M0","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M0",-314.844758,"LRT_M1a_M2a",5.80000000809378e-05
"47","M0","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M0",-314.844758,"LRT_M7_M8",-5.79999999672509e-05
"48","M0","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M0",-314.844758,"p_M7_M8",1
"49","M1a","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M1a",-314.844484,"LRT_M1a_M2a",5.80000000809378e-05
"50","M1a","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M1a",-314.844484,"LRT_M7_M8",-5.79999999672509e-05
"51","M1a","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M1a",-314.844484,"p_M7_M8",1
"52","M2a","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M2a",-314.844455,"LRT_M1a_M2a",5.80000000809378e-05
"53","M2a","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M2a",-314.844455,"LRT_M7_M8",-5.79999999672509e-05
"54","M2a","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M2a",-314.844455,"p_M7_M8",1
