gene,model,lnL,kappa,p0,p1,p2,w0,w1,w2,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS,n_positive_sites
atpA,M2a,-2027.119534,0.79442,1.0,0.0,0.0,0.12646,1.0,1.0,0.006273,,,5.625e-05,0.0004125,0
atpB,M2a,-1983.694174,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.002096,,,0.0,0.00015,0
atpE,M2a,-531.71415,0.0001,1e-05,0.0,0.99999,0.0,1.0,999.0,0.007422,,,0.00019375,0.0,0
atpH,M2a,-314.844455,999.0,1.0,0.0,0.0,0.0,1.0,52.14357,0.013058,,,0.0,0.00106875,0
atpI,M2a,-984.169636,2.26898,0.0,0.0,1.0,0.0,1.0,61.88944,0.008201,,,0.000225,0.0,0
ccsA,M2a,-1307.197642,3.65377,1.0,0.0,0.0,0.12002,1.0,1.0,0.02323,,,0.00017500000000000003,0.0014437500000000002,0
cemA,M2a,-915.717555,0.0001,1.0,0.0,0.0,0.299,1.0,1.0,0.013612,,,0.00020625,0.0007125,0
clpP1,M2a,-793.267993,1.33186,1.0,0.0,0.0,0.0,1.0,1.0,0.011608,,,0.0,0.0009625,0
matK,M2a,-2047.96457,4.26982,0.99995,0.0,5e-05,0.94141,1.0,1.0,0.02408,,,0.0005,0.000525,0
ndhA,M2a,-1455.546592,3.94645,1.0,0.0,0.0,0.64005,1.0,1.0,0.016945,,,0.00030625000000000004,0.0004875,0
ndhB,M2a,-2019.197499,0.0001,1.0,0.0,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
ndhC,M2a,-461.916881,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.009606,,,0.0,0.00071875,0
ndhE,M2a,-383.43833,0.0001,1.0,0.0,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
ndhF,M2a,-2902.617358,1.33932,1.0,0.0,0.0,0.47635,1.0,1.0,0.014102,,,0.00024375000000000002,0.0005062500000000001,0
ndhG,M2a,-689.559708,0.0001,0.0,0.0,1.0,1.0,1.0,999.0,0.011388,,,0.0002875,0.0,0
ndhH,M2a,-1634.675158,1.51365,0.97821,0.0,0.02179,0.0,1.0,6.99457,0.027313,,,0.00025624999999999997,0.0016875000000000002,0
ndhI,M2a,-706.213178,3.34655,0.96335,0.0,0.03665,0.0,1.0,10.45716,0.045863,,,0.0007062500000000001,0.0018375,0
