accession,genome_size_bp,year,taxonomy_id,kingdom,phylum,class,order,family,genus,species,title
PZ368383,123096,2026,3695190,NA,NA,NA,NA,NA,NA,NA,"Oxytropis moellendorffii isolate xz70 chloroplast, complete genome"
PZ369843,123949,2026,47064,NA,NA,NA,NA,NA,NA,NA,"Phyllolobium chinense isolate xz31 chloroplast, complete genome"
PZ369842,123748,2026,1641299,NA,NA,NA,NA,NA,NA,NA,"Hedysarum tanguticum isolate xz06 chloroplast, complete genome"
PZ369841,124144,2026,754892,NA,NA,NA,NA,NA,NA,NA,"Hedysarum sikkimense isolate xz05 chloroplast, complete genome"
PZ369840,122487,2026,119828,NA,NA,NA,NA,NA,NA,NA,"Hedysarum polybotrys isolate xz24 chloroplast, complete genome"
PZ369839,123507,2026,1641289,NA,NA,NA,NA,NA,NA,NA,"Hedysarum longigynophorum isolate xz47 chloroplast, complete genome"
PZ369838,123529,2026,2182685,NA,NA,NA,NA,NA,NA,NA,"Astragalus tongolensis isolate xz49 chloroplast, complete genome"
PZ369837,123425,2026,144149,NA,NA,NA,NA,NA,NA,NA,"Astragalus scaberrimus isolate xz30 chloroplast, complete genome"
PZ369836,123560,2026,3077617,NA,NA,NA,NA,NA,NA,NA,"Astragalus psilosepalus isolate xz46 chloroplast, complete genome"
PZ369835,122677,2026,2836192,NA,NA,NA,NA,NA,NA,NA,"Astragalus muliensis isolate xz45 chloroplast, complete genome"
PZ369834,123079,2026,502151,NA,NA,NA,NA,NA,NA,NA,"Astragalus melilotoides isolate xz23 chloroplast, complete genome"
PZ369833,122513,2026,3084127,NA,NA,NA,NA,NA,NA,NA,"Astragalus floridulus isolate xz41 chloroplast, complete genome"
PZ369861,157037,2026,681286,NA,NA,NA,NA,NA,NA,NA,"Curculigo orchioides chloroplast, complete genome"
PZ369860,154852,2026,53094,NA,NA,NA,NA,NA,NA,NA,"Paphiopedilum hirsutissimum chloroplast, complete genome"
PZ379502,156093,2026,213589,NA,NA,NA,NA,NA,NA,NA,"Hemerocallis middendorffii chloroplast, complete genome"
PZ379501,153852,2026,247107,NA,NA,NA,NA,NA,NA,NA,"Haworthiopsis fasciata chloroplast, complete genome"
PZ335589,166595,2026,659594,NA,NA,NA,NA,NA,NA,NA,"Berberis lycium isolate Blycium-ZB-01 chloroplast, complete genome"
PZ347669,162681,2026,3706800,NA,NA,NA,NA,NA,NA,NA,"Heterostemma pingtaoi isolate A9 chloroplast, complete genome"
PZ342510,152163,2026,3696328,NA,NA,NA,NA,NA,NA,NA,"Nepeta griffithii isolate NP-1 chloroplast, complete genome"
PZ347914,177455,2026,3705806,NA,NA,NA,NA,NA,NA,NA,"Murdannia medica isolate UMP26-01 chloroplast, complete genome"
PZ348030,160149,2026,3751,NA,NA,NA,NA,NA,NA,NA,"Malus sp. isolate ROS1192 chloroplast, complete genome"
PZ348029,160217,2026,3751,NA,NA,NA,NA,NA,NA,NA,"Malus sp. isolate ROS1164 chloroplast, complete genome"
PZ348028,160365,2026,470517,NA,NA,NA,NA,NA,NA,NA,"Malus rockii isolate ROS405 chloroplast, complete genome"
PZ348027,160352,2026,3751,NA,NA,NA,NA,NA,NA,NA,"Malus sp. isolate ROS1145 chloroplast, complete genome"
PZ348026,160108,2026,3751,NA,NA,NA,NA,NA,NA,NA,"Malus sp. isolate ROS1153 chloroplast, complete genome"
PZ348025,160614,2026,3751,NA,NA,NA,NA,NA,NA,NA,"Malus sp. isolate ROS1166 chloroplast, complete genome"
PZ348024,160111,2026,3751,NA,NA,NA,NA,NA,NA,NA,"Malus sp. isolate ROS1184 chloroplast, complete genome"
PZ348023,160236,2026,106548,NA,NA,NA,NA,NA,NA,NA,"Malus asiatica isolate ROS375 chloroplast, complete genome"
PV575208,156294,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 20 chloroplast, complete genome"
PV575207,156241,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 19 chloroplast, complete genome"
PV575206,156250,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 18 chloroplast, complete genome"
PV575205,156083,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 17 chloroplast, complete genome"
PV575204,156087,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 16 chloroplast, complete genome"
PV575203,156009,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 15 chloroplast, complete genome"
PV575202,156163,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 14 chloroplast, complete genome"
PV575201,156242,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 13 chloroplast, complete genome"
PV575200,156250,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 12 chloroplast, complete genome"
PV575199,156283,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 11 chloroplast, complete genome"
PV575198,156374,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 10 chloroplast, complete genome"
PV575197,155708,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 9 chloroplast, complete genome"
PV575196,156287,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 8 chloroplast, complete genome"
PV575195,156074,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 7 chloroplast, complete genome"
