seq0_leftend	seq0_rightend	seq1_leftend	seq1_rightend	seq2_leftend	seq2_rightend	seq3_leftend	seq3_rightend	seq4_leftend	seq4_rightend	seq5_leftend	seq5_rightend	seq6_leftend	seq6_rightend	seq7_leftend	seq7_rightend	seq8_leftend	seq8_rightend
49164	49661	49272	49766	49241	49684	49146	49461	49184	49636	0	0	0	0	48812	49295	0	0
1	37629	1	37750	1	37682	1	37666	1	37640	1	37726	1	37666	1	37505	1	37721
37630	37630	37751	37751	37683	37683	37667	37667	37641	37641	37727	37727	37667	37667	0	0	37722	37722
37631	49163	37752	49271	37684	49240	37668	49145	37642	49183	37728	49262	37668	49154	37506	48811	37723	49254
0	0	0	0	0	0	0	0	0	0	49263	49266	49155	49158	0	0	49255	49258
49662	117745	49767	117935	49685	117648	49462	117422	49637	117564	49267	117365	49159	117194	49296	117393	49259	117354
117746	118144	117936	118344	117649	118038	0	0	117565	117954	117366	117767	117195	117592	117394	117809	117355	117756
118145	160449	118345	160621	118039	160322	117429	159710	117955	160230	117768	160072	117593	159891	117810	160094	117757	160061
