Gene,kappa,omega,dN,dS
matK,3.545,0.89043,,
ycf1,0.7642,0.88212,,
accD,0.0001,0.65171,,
rpoB,3.75543,0.61051,,
petN,2.08016,0.44872,,
psbK,2.24539,0.44659,,
psbM,2.10898,0.4419,,
psaJ,2.38422,0.43485,,
atpB,2.31986,0.43284,,
psbF,2.46003,0.4289,,
psbE,1.85525,0.42725,,
petG,1.72767,0.42548,,
rps8,2.23774,0.42442,,
rbcL,1.05704,0.42197,,
rps2,2.00301,0.41719,,
rpl32,2.35387,0.4171,,
psbI,1.74437,0.4161,,
psbT,2.40122,0.41504,,
psbH,1.93275,0.41088,,
psaC,6.20869,0.40585,,
ndhJ,2.24661,0.39772,,
psbJ,1.75426,0.38681,,
psaI,1.7083,0.38502,,
pbf1,1.7135,0.38277,,
psbL,1.78678,0.38144,,
ndhE,2.12625,0.37937,,
psbZ,1.90614,0.37875,,
rpl36,2.07435,0.37778,,
ndhI,2.58006,0.37212,,
ndhF,2.8603,0.35278,,
rps3,0.0001,0.33464,,
petD,0.0001,0.33065,,
rpoC2,2.1787,0.27858,,
rps4,1.66532,0.25006,,
rps16,5.90621,0.24971,,
cemA,0.0001,0.14922,,
rpl33,2.25695,0.14751,,
atpA,0.79444,0.1265,,
ndhH,2.15406,0.10881,,
ccsA,2.6319,0.05662,,
rps19,7.64777,0.0001,,
psbB,2.70119,0.0001,,
rpl16,2.14372,0.0001,,
psbA,1.82779,0.0001,,
clpP1,1.33205,0.0001,,
psbC,0.64552,0.0001,,
rpoA,0.62753,0.0001,,
rps18,0.0001,0.0001,,
rpl20,0.0001,0.0001,,
ndhG,0.0001,0.0001,,
rps11,0.0001,0.0001,,
ndhK,0.0001,0.0001,,
psaB,0.0001,0.0001,,
rpl14,0.0001,0.0001,,
rpl22,0.0001,0.0001,,
pafII,0.0001,0.0001,,
petB,0.0001,0.0001,,
psbD,0.0001,0.0001,,
psaA,0.0001,0.0001,,
atpH,0.0001,0.0001,,
atpE,0.0001,0.0001,,
petA,0.0001,0.0001,,
rps15,0.0001,0.0001,,
ndhC,0.0001,0.0001,,
rps14,0.0001,0.0001,,
petL,0.0001,0.0001,,
