gene,model,lnL,kappa,beta_p,beta_q,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS
atpA,M7,-2027.119557,0.79445,3.50208,23.91383,0.006274,,,5.625e-05,0.0004125
atpB,M7,-1983.694172,999.0,0.005,1.16876,0.002096,,,0.0,0.00015
atpE,M7,-531.924903,0.0001,3.92392,0.005,0.00762,,,0.00015625,0.00015625
atpH,M7,-314.844452,999.0,0.005,19.45355,0.013059,,,0.0,0.00106875
atpI,M7,-984.758739,1.95845,0.03108,0.005,0.008349,,,0.0001625,0.0001875
ccsA,M7,-1307.197932,3.65406,13.55063,99.0,0.023228,,,0.00017500000000000003,0.0014437500000000002
cemA,M7,-915.717746,0.0001,42.28447,99.0,0.013612,,,0.00020625,0.0007125
clpP1,M7,-793.267988,1.33188,0.005,1.19818,0.011609,,,0.0,0.0009625
matK,M7,-2047.964649,4.27454,99.0,5.58263,0.024078,,,0.0005,0.000525
ndhA,M7,-1455.546739,3.94065,99.0,57.39132,0.016942,,,0.00030625000000000004,0.0004875
ndhB,M7,-2019.197499,0.0001,0.005,47.44588,6.4e-05,,,0.0,0.0
ndhC,M7,-461.916878,999.0,0.005,25.48575,0.009606,,,0.0,0.00071875
ndhE,M7,-383.43833,0.0001,0.005,9.01166,6.4e-05,,,0.0,0.0
ndhF,M7,-2902.617384,1.33933,90.08698,99.0,0.014095,,,0.00024375000000000002,0.0005062500000000001
ndhG,M7,-689.95852,0.0001,15.03621,0.005,0.011538,,,0.0002375,0.0002375
ndhH,M7,-1635.744504,1.46433,0.005,0.03867,0.027994,,,0.00023750000000000003,0.0018312499999999998
ndhI,M7,-706.309714,3.16787,0.01533,0.0379,0.038136,,,0.0004875,0.0018750000000000001
ndhJ,M7,-637.636949,0.0001,0.03537,0.005,0.006459,,,0.00013125,0.00015
ndhK,M7,-915.742758,0.67703,0.005,3.90616,0.014738,,,0.0,0.0015
pafI,M7,-693.959531,0.36338,6.50876,99.0,0.025577,,,0.00015,0.0024375
pafII,M7,-730.001648,999.0,0.005,98.60125,0.005881,,,0.0,0.0004125
petA,M7,-1321.53782,0.40482,0.36548,0.005,0.019004,,,0.00040625000000000004,0.00040625000000000004
petB,M7,-869.762245,999.0,0.005,99.0,0.015032,,,0.0,0.0011250000000000001
petD,M7,-635.467129,999.0,0.02231,0.04701,0.013072,,,0.0001875,0.00055
psaA,M7,-3065.52691,4.71963,0.005,2.24211,0.007155,,,0.0,0.0005312499999999999
psaB,M7,-2986.055548,999.0,0.005,12.48039,0.008358,,,0.0,0.0006000000000000001
psaC,M7,-318.191014,0.0001,0.005,2.10229,6.4e-05,,,0.0,0.0
psbA,M7,-1417.614788,1.82716,0.005,0.76197,0.009516,,,0.0,0.0008437499999999999
psbB,M7,-2053.148125,2.02704,0.005,1.7053,0.010835,,,0.0,0.0009124999999999999
psbD,M7,-1408.09267,418.44905,0.005,99.0,0.002998,,,0.0,0.00020625
psbE,M7,-328.109604,0.0001,0.005,1.56166,6.4e-05,,,0.0,0.0
psbH,M7,-285.662334,999.0,0.005,41.77466,0.013764,,,0.0,0.00128125
psbK,M7,-229.952235,0.0001,0.005,45.34176,6.4e-05,,,0.0,0.0
psbZ,M7,-224.56948,0.0001,0.005,72.66813,6.4e-05,,,0.0,0.0
rbcL,M7,-1977.588748,1.72423,0.005,0.00796,0.021743,,,0.000325,0.000875
rpl14,M7,-486.438135,999.0,0.005,0.83188,0.016862,,,0.0,0.001375
rpl2,M7,-1097.238189,0.0001,0.04126,0.005,0.003758,,,7.5e-05,8.75e-05
rpl20,M7,-485.863644,1.45815,0.03493,0.005,0.043915,,,0.0008875,0.0010125
rpl22,M7,-616.473195,0.0001,11.59983,0.005,0.02029,,,0.00041875000000000007,0.00041875000000000007
rpl23,M7,-366.631977,0.0001,10.05328,99.0,6.4e-05,,,0.0,0.0
rpl32,M7,-211.924017,1.00691,0.005,99.0,0.040268,,,0.0,0.00494375
rpl33,M7,-284.486725,0.92883,7.89342,99.0,0.060634,,,0.00039375,0.00535
rpoA,M7,-1325.279828,1.04554,5.25218,0.005,0.018608,,,0.00038125,0.00038125
rpoB,M7,-4285.170939,2.02367,0.63601,0.005,0.003843,,,7.5e-05,7.5e-05
rpoC1,M7,-2742.043892,2.69726,0.005,0.00781,0.007575,,,0.000125,0.0003125
rpoC2,M7,-5738.62499,2.08306,33.48637,98.94123,0.016933,,,0.00019999999999999998,0.00085
rps11,M7,-543.541161,24.80222,0.005,0.15185,0.016351,,,0.0,0.0015187500000000001
rps14,M7,-403.587711,0.0001,2.20158,0.005,0.010276,,,0.0002125,0.0002125
rps15,M7,-343.534516,999.0,0.005,99.0,0.01041,,,0.0,0.0007625
rps16,M7,-370.260546,5.91045,32.96097,99.0,0.047009,,,0.0006,0.0024312500000000003
rps18,M7,-408.980097,999.0,99.0,30.19879,0.030703,,,0.0006000000000000001,0.0007687500000000001
rps19,M7,-359.6582,999.0,5.18907,0.005,0.011162,,,0.00023125,0.00023125
rps2,M7,-937.398712,0.0001,0.00687,0.005,0.004391,,,8.125e-05,0.00013125
rps3,M7,-857.172454,999.0,49.82179,99.0,0.009491,,,0.0001375,0.0003875
rps4,M7,-808.520226,1.66349,0.00535,0.01619,0.010331,,,0.0001375,0.000525
rps7,M7,-607.221002,1.95156,0.005,0.54817,6.4e-05,,,0.0,0.0
rps8,M7,-535.003206,0.0001,0.005,39.88496,0.013274,,,0.0,0.00156875
ycf1,M7,-7786.446968,0.88801,0.00832,0.005,0.036849,,,0.0007000000000000001,0.001125
