"","Genes","T3s","C3s","A3s","G3s","CAI","CBI","Fop","Nc","GC3s","GC","L_sym","L_aa","Gravy","Aromo","A3_bias","G3_bias"
"1","psbA",0.5362,0.2533,0.2976,0.0724,0.321,0.226,0.55,39.4,0.281,0.418,331,353,0.335128,0.135977,0.356920124730151,0.222290451335585
"2","matK",0.5096,0.1435,0.4532,0.204,0.16,-0.186,0.305,48.73,0.247,0.325,489,504,-0.115675,0.154762,0.470710427918571,0.58705035971223
"3","atpA",0.4875,0.15,0.4019,0.1806,0.197,-0.059,0.383,46.74,0.26,0.41,496,507,-0.096252,0.059172,0.451877670339555,0.546279491833031
"4","atpF",0.4069,0.1793,0.4507,0.2422,0.146,-0.129,0.339,46.35,0.317,0.379,180,184,-0.316848,0.070652,0.525536380597015,0.574614472123369
"5","atpI",0.4811,0.1981,0.4031,0.1024,0.18,-0.05,0.37,44.27,0.248,0.383,238,247,0.687854,0.125506,0.455892332051572,0.340765391014975
"6","rps2",0.4923,0.1077,0.4157,0.2229,0.165,-0.146,0.327,50.73,0.248,0.391,226,236,-0.276695,0.067797,0.457819383259912,0.674228675136116
"7","rpoC2",0.4405,0.1668,0.4459,0.2147,0.154,-0.155,0.326,51.38,0.285,0.38,1361,1393,-0.28514,0.090452,0.503046028880866,0.562778505897772
"8","rpoC1",0.4826,0.1499,0.4561,0.1732,0.15,-0.138,0.326,48.07,0.244,0.386,659,681,-0.293979,0.095448,0.485884734206882,0.536056948313216
"9","rpoB",0.443,0.1434,0.4501,0.2222,0.155,-0.117,0.344,49.88,0.276,0.393,1037,1070,-0.273271,0.081308,0.50397491882208,0.607768052516411
"10","psbD",0.5067,0.2033,0.3648,0.1261,0.249,0.042,0.441,44.18,0.272,0.426,331,353,0.35949,0.169972,0.418588640275387,0.382817243472981
"11","rps14",0.3467,0.1333,0.4756,0.2727,0.127,-0.159,0.323,36.81,0.323,0.42,96,100,-0.979,0.06,0.578377721026389,0.671674876847291
"12","psaB",0.4792,0.1773,0.3843,0.1767,0.183,-0.082,0.37,49.56,0.28,0.416,689,734,0.115668,0.151226,0.445049218297626,0.499152542372881
"13","psaA",0.4379,0.2112,0.3833,0.1691,0.194,-0.087,0.364,50.52,0.308,0.437,707,750,0.251733,0.130667,0.46675596687774,0.444648961346306
"14","pafI",0.4511,0.1729,0.4576,0.2353,0.155,-0.134,0.36,56.06,0.292,0.397,161,168,-0.501786,0.142857,0.503576537911302,0.576433121019108
"15","rps4",0.4528,0.1761,0.4724,0.1333,0.15,-0.02,0.386,51.2,0.244,0.381,197,201,-0.711443,0.064677,0.510592304366623,0.430833872010343
"16","ndhJ",0.4762,0.1746,0.4196,0.2,0.176,-0.098,0.349,55.51,0.282,0.407,149,158,-0.275949,0.14557,0.468408126814021,0.533902829684997
"17","ndhK",0.4764,0.1728,0.4294,0.129,0.148,-0.169,0.313,49.91,0.244,0.393,217,225,-0.202667,0.093333,0.474056083020534,0.427435387673956
"18","ndhC",0.52,0.1,0.4432,0.1333,0.186,-0.076,0.342,50.77,0.18,0.361,111,120,0.995833,0.2,0.460132890365448,0.57136733819117
"19","atpE",0.4167,0.1852,0.3981,0.2174,0.161,-0.03,0.391,52.95,0.312,0.419,128,133,-0.044361,0.022556,0.488586156111929,0.539990064580228
"20","atpB",0.4251,0.1966,0.4167,0.1618,0.196,0.006,0.413,47.64,0.291,0.432,484,498,-0.048394,0.058233,0.495010691375624,0.451450892857143
"21","rbcL",0.4961,0.2016,0.3898,0.1541,0.255,0.07,0.464,49.2,0.281,0.437,459,477,-0.27631,0.100629,0.4400045151823,0.433230250210852
"22","accD",0.595,0.165,0.3556,0.1806,0.205,-0.154,0.349,47.39,0.249,0.343,473,492,-0.439837,0.107724,0.374079528718704,0.522569444444444
