Gene,Start,End,Region,Copy_Status
rps12,73942,103627,LSC,Duplicate
trnH-GUG,3,77,LSC,Duplicate
trnH-GUG,4,78,LSC,Duplicate
trnH-GUG,4,77,LSC,Duplicate
psbA,584,1645,LSC,Single
trnK-UUU,1929,4552,LSC,Single
matK,2277,3791,LSC,Single
rps16,5434,6584,LSC,Single
trnQ-UUG,7153,7224,LSC,Single
psbK,7569,7754,LSC,Single
psbI,8171,8281,LSC,Single
trnS-GCU,8356,8443,LSC,Single
trnS-CGA,9247,10064,LSC,Single
trnG-UCC,9247,10063,LSC,Single
trnR-UCU,10248,10319,LSC,Single
atpA,10499,12022,LSC,Single
atpF,12094,13447,LSC,Single
atpH,14031,14276,LSC,Single
atpI,15480,16223,LSC,Duplicate
atpI,15480,16166,LSC,Duplicate
rps2,16442,17152,LSC,Single
rpoC2,17392,21573,LSC,Single
rpoC1,21756,24564,LSC,Single
rpoB,24591,27803,LSC,Single
trnC-GCA,29042,29113,LSC,Single
petN,29689,29778,LSC,Single
psbM,30325,30429,LSC,Single
trnD-GUC,30915,30991,LSC,Duplicate
trnD-GUC,30917,30990,LSC,Duplicate
trnY-GUA,31480,31565,LSC,Duplicate
trnY-GUA,31481,31564,LSC,Duplicate
trnE-UUC,31623,31697,LSC,Duplicate
trnE-UUC,31624,31696,LSC,Duplicate
trnT-GGU,32521,32594,LSC,Duplicate
trnT-GGU,32522,32593,LSC,Duplicate
psbD,34070,35131,LSC,Single
psbC,35115,36500,LSC,Single
trnS-UGA,36742,36834,LSC,Single
psbZ,37193,37381,LSC,Single
trnG-GCC,38229,38300,LSC,Duplicate
trnG-GCC,38229,38299,LSC,Duplicate
trnM-CAU,38445,38519,LSC,Duplicate
trnM-CAU | trnfM-CAU,38446,38519,LSC,Single
rps14,38678,38980,LSC,Single
psaB,39109,41313,LSC,Single
psaA,41339,43591,LSC,Single
pafI,44459,46472,LSC,Single
trnS-GGA,47437,47524,LSC,Duplicate
trnS-GGA,47437,47523,LSC,Duplicate
rps4,47801,48406,LSC,Single
trnT-UGU,48889,48963,LSC,Duplicate
trnT-UGU,48890,48962,LSC,Duplicate
trnL-UAA,49948,50582,LSC,Single
trnF-GAA,50981,51053,LSC,Single
ndhJ,51773,52249,LSC,Single
ndhK,52384,53061,LSC,Single
ndhC,53122,53484,LSC,Single
trnV-UAC | trnC-ACA,54711,55372,LSC,Single
trnM-CAU,55567,55639,LSC,Duplicate
atpE,55878,56279,LSC,Single
atpB,56276,57772,LSC,Single
rbcL,58826,60259,LSC,Single
accD,60973,62451,LSC,Single
psaI,63194,63307,LSC,Single
pafII,63718,64272,LSC,Single
cemA,65257,65946,LSC,Single
petA,66173,67135,LSC,Single
psbJ,68193,68315,LSC,Single
psbL,68455,68571,LSC,Single
psbF,68603,68722,LSC,Single
psbE,68732,68983,LSC,Single
petL,69846,69941,LSC,Single
petG,70119,70232,LSC,Single
trnW-CCA,70363,70436,LSC,Single
trnP-UGG,70624,70699,LSC,Duplicate
trnP-UGG,70626,70699,LSC,Duplicate
psaJ,71062,71190,LSC,Single
rpl33,71705,71905,LSC,Single
rps18,72246,72551,LSC,Single
rpl20,72837,73190,LSC,Single
rps12,73922,74055,LSC,Duplicate
rps12,73942,146211,LSC,Duplicate
clpP1,74234,74497,LSC,Duplicate
clpP1,74249,76414,LSC,Duplicate
psbB,76821,78347,LSC,Single
psbT,78530,78637,LSC,Single
pbf1,78698,78829,LSC,Single
psbH,78934,79155,LSC,Single
petB,79284,80749,LSC,Single
petD,80964,82185,LSC,Single
rpoA,82414,83397,LSC,Single
