"","gene","lnL_M0","lnL_M1a","lnL_M2a","lnL_M7","lnL_M8","LRT_M1a_M2a","p_M1a_M2a","sig_M1a_M2a","LRT_M7_M8","p_M7_M8","sig_M7_M8","pos_sel_both"
"1","atpA",-2027.119895,-2027.119534,-2027.119534,-2027.119557,-2027.119739,0,1,FALSE,-0.000363999999990483,1,FALSE,FALSE
"2","atpB",-1983.694415,-1983.694198,-1983.694174,-1983.694172,-1983.698203,4.79999998788116e-05,0.999976000288058,FALSE,-0.00806199999988166,1,FALSE,FALSE
"3","atpE",-531.71415,-531.924904,-531.71415,-531.924903,-531.508876,0.421507999999903,0.809973295805921,FALSE,0.832053999999971,0.659662459357547,FALSE,FALSE
"4","atpH",-314.844758,-314.844484,-314.844455,-314.844452,-314.844481,5.80000000809378e-05,0.999971000420456,FALSE,-5.79999999672509e-05,1,FALSE,FALSE
"5","atpI",-984.160306,-984.692936,-984.169636,-984.758739,-984.160405,1.04660000000013,0.592561863768294,FALSE,1.19666800000005,0.549726718331595,FALSE,FALSE
"6","ccsA",-1307.197642,-1307.197645,-1307.197642,-1307.197932,-1307.198462,5.99999975747778e-06,0.999997000004621,FALSE,-0.00106000000005224,1,FALSE,FALSE
"7","cemA",-915.717555,-915.717556,-915.717555,-915.717746,-915.717747,1.99999999495049e-06,0.999999000000503,FALSE,-1.99999999495049e-06,1,FALSE,FALSE
"8","clpP1",-793.268672,-793.26806,-793.267993,-793.267988,-793.268053,0.000133999999889056,0.999933002244505,FALSE,-0.000130000000126529,1,FALSE,FALSE
"9","matK",-2047.96457,-2047.96457,-2047.96457,-2047.964649,-2047.968199,0,1,FALSE,-0.00709999999980937,1,FALSE,FALSE
"10","ndhA",-1455.546592,-1455.546592,-1455.546592,-1455.546739,-1455.54666,0,1,FALSE,0.000157999999828462,0.999921003120504,FALSE,FALSE
"11","ndhB",-2019.199592,-2019.198982,-2019.197499,-2019.197499,-2019.199008,0.00296599999956015,0.99851809910133,FALSE,-0.00301799999988361,1,FALSE,FALSE
"12","ndhC",-461.917179,-461.916911,-461.916881,-461.916878,-461.916908,6.00000000758882e-05,0.999970000449958,FALSE,-5.99999999622014e-05,1,FALSE,FALSE
"13","ndhE",-383.438933,-383.43833,-383.43833,-383.43833,-383.43833,0,1,FALSE,0,1,FALSE,FALSE
"14","ndhF",-2902.617358,-2902.617358,-2902.617358,-2902.617384,-2902.617383,0,1,FALSE,2.00000067707151e-06,0.999999000000162,FALSE,FALSE
"15","ndhG",-689.559708,-689.958538,-689.559708,-689.95852,-689.560354,0.797659999999951,0.671104779469058,FALSE,0.79633200000012,0.671550541019025,FALSE,FALSE
"16","ndhH",-1637.639749,-1635.721914,-1634.675158,-1635.744504,-1634.675157,2.09351199999992,0.351074790453202,FALSE,2.13869400000021,0.343232575127425,FALSE,FALSE
"17","ndhI",-706.325312,-706.308707,-706.213178,-706.309714,-706.213178,0.191058000000112,0.908892003403329,FALSE,0.193072000000029,0.907977209831806,FALSE,FALSE
"18","ndhJ",-637.473803,-637.61773,-637.473803,-637.636949,-637.473803,0.287854000000152,0.865950960171961,FALSE,0.326291999999967,0.849467157155598,FALSE,FALSE
"19","ndhK",-915.744052,-915.742895,-915.74277,-915.742758,-915.742883,0.000250000000050932,0.999875007812149,FALSE,-0.000250000000050932,1,FALSE,FALSE
"20","pafI",-693.959041,-693.95905,-693.959041,-693.959531,-694.02031,1.8000000181928e-05,0.999991000040409,FALSE,-0.12155800000005,1,FALSE,FALSE
"21","pafII",-730.0019,-730.001675,-730.00165,-730.001648,-730.003344,4.99999998737621e-05,0.99997500031256,FALSE,-0.00339199999984885,1,FALSE,FALSE
"22","petA",-1320.320987,-1321.537817,-1317.269732,-1321.53782,-1317.274905,8.53616999999986,0.0140085839216232,TRUE,8.52583000000004,0.0140811958405709,TRUE,TRUE
