gene,model,lnL,kappa,p0,p1,w0,w1,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS
atpA,M1a,-2027.119534,0.79438,0.99999,1e-05,0.12645,1.0,0.006273,,,5.625e-05,0.0004125
atpB,M1a,-1983.694198,999.0,0.99999,1e-05,0.0,1.0,0.002096,,,0.0,0.00015
atpE,M1a,-531.924904,0.0001,1e-05,0.99999,0.12687,1.0,0.00762,,,0.00015625,0.00015625
atpH,M1a,-314.844484,999.0,0.99999,1e-05,0.0,1.0,0.013058,,,0.0,0.00106875
atpI,M1a,-984.692936,1.98618,1e-05,0.99999,0.06405,1.0,0.008333,,,0.000175,0.000175
ccsA,M1a,-1307.197645,3.65366,0.99999,1e-05,0.12001,1.0,0.023229,,,0.00017500000000000003,0.0014437500000000002
cemA,M1a,-915.717556,0.0001,0.99999,1e-05,0.29898,1.0,0.013613,,,0.00020625,0.0007125
clpP1,M1a,-793.26806,1.3319,0.99999,1e-05,0.0,1.0,0.011608,,,0.0,0.0009625
matK,M1a,-2047.96457,4.27023,0.99999,1e-05,0.94144,1.0,0.02408,,,0.0005,0.000525
ndhA,M1a,-1455.546592,3.9466,0.99999,1e-05,0.64007,1.0,0.016945,,,0.00030625000000000004,0.0004875
ndhB,M1a,-2019.198982,1.85028,0.99999,1e-05,0.0,1.0,6.4e-05,,,0.0,0.0
ndhC,M1a,-461.916911,999.0,0.99999,1e-05,0.0,1.0,0.009606,,,0.0,0.00071875
ndhE,M1a,-383.43833,0.0001,0.99999,1e-05,0.0,1.0,6.4e-05,,,0.0,0.0
ndhF,M1a,-2902.617358,1.33844,0.99999,1e-05,0.4763,1.0,0.014101,,,0.00024375000000000002,0.0005062500000000001
ndhG,M1a,-689.958538,0.0001,1e-05,0.99999,0.27377,1.0,0.011581,,,0.0002375,0.0002375
ndhH,M1a,-1635.721914,1.43265,0.89187,0.10813,0.0,1.0,0.028079,,,0.00019999999999999998,0.0019375
ndhI,M1a,-706.308707,3.17811,0.7355,0.2645,0.0,1.0,0.038164,,,0.0004875,0.0018750000000000001
ndhJ,M1a,-637.61773,0.0001,0.97167,0.02833,1.0,1.0,0.006443,,,0.00013125,0.00013125
ndhK,M1a,-915.742895,0.67702,0.99999,1e-05,0.0,1.0,0.014739,,,0.0,0.0015
pafI,M1a,-693.95905,0.36336,0.99999,1e-05,0.06126,1.0,0.025577,,,0.00015,0.0024375
pafII,M1a,-730.001675,999.0,0.99999,1e-05,0.0,1.0,0.005881,,,0.0,0.0004125
petA,M1a,-1321.537817,0.40483,0.13713,0.86287,1.0,1.0,0.019004,,,0.00040625000000000004,0.00040625000000000004
petB,M1a,-869.762334,999.0,0.99999,1e-05,0.0,1.0,0.015032,,,0.0,0.0011250000000000001
petD,M1a,-635.466144,999.0,0.67122,0.32878,0.0,1.0,0.013087,,,0.000175,0.00055
psaA,M1a,-3065.527058,4.71854,0.99999,1e-05,0.0,1.0,0.007155,,,0.0,0.0005312499999999999
psaB,M1a,-2986.055704,999.0,0.99999,1e-05,0.0,1.0,0.008358,,,0.0,0.0006000000000000001
psaC,M1a,-318.191526,1.83536,0.9581,0.0419,0.48902,1.0,6.4e-05,,,0.0,0.0
psbA,M1a,-1417.614903,1.82743,0.99999,1e-05,0.0,1.0,0.009516,,,0.0,0.0008437499999999999
psbB,M1a,-2053.148306,2.02713,0.99999,1e-05,0.0,1.0,0.010834,,,0.0,0.0009124999999999999
psbD,M1a,-1408.091208,999.0,0.99999,1e-05,0.0,1.0,0.002998,,,0.0,0.00020625
psbE,M1a,-328.110068,1.98087,0.96504,0.03496,0.22633,1.0,6.4e-05,,,0.0,0.0
psbH,M1a,-285.662369,999.0,0.99999,1e-05,0.0,1.0,0.013764,,,0.0,0.00128125
psbK,M1a,-229.952235,0.0001,0.99999,1e-05,0.0,1.0,6.4e-05,,,0.0,0.0
psbZ,M1a,-224.569856,1.52804,0.00022,0.99978,1.0,1.0,6.4e-05,,,0.0,0.0
rbcL,M1a,-1977.492599,1.64204,0.71606,0.28394,0.0,1.0,0.021836,,,0.00030000000000000003,0.0010125
rpl14,M1a,-486.438196,999.0,0.99999,1e-05,0.0,1.0,0.016862,,,0.0,0.001375
rpl2,M1a,-1097.210461,0.0001,0.84009,0.15991,1.0,1.0,0.003761,,,7.5e-05,7.5e-05
rpl20,M1a,-485.853009,1.47099,1e-05,0.99999,0.03506,1.0,0.043881,,,0.0009125,0.0009125
rpl22,M1a,-616.473198,0.0001,1e-05,0.99999,0.3777,1.0,0.020291,,,0.00041875000000000007,0.00041875000000000007
rpl23,M1a,-366.632096,1.99517,0.99999,1e-05,0.19965,1.0,6.4e-05,,,0.0,0.0
rpl32,M1a,-211.92412,1.00695,0.99999,1e-05,0.0,1.0,0.040268,,,0.0,0.00494375
